scientific_name,korean_name
Triclistus glabrosus,등매끈뭉툭맵시벌
Triclistus globulipes,갈색다리뭉툭맵시벌
Triclistus japonicus,왜뭉툭맵시벌
Triclistus semistriatus,지리주름뭉툭맵시벌
Triptognathus atripes,대유동맵시벌
Triptognathus nipponicus,왜맵시벌
Triptognathus rubrocinctus,구주맵시벌
Trychosis legator,외줄호리뾰족맵시벌
Trychosis maruyamana,두줄호리뾰족맵시벌
Trychosis samboensis,검정호리뾰족맵시벌
Trychosis suigensis,홍다리뾰족맵시벌
Tryphon (Stenocrotaphon) nagahamensis,진빨간뭉툭맵시벌
Tryphon (Stenocrotaphon) obtusator,배끝마디검은뭉툭맵시벌
Tryphon (Symboethus) brunniventris,갈색뭉툭맵시벌
Tryphon (Symboethus) hinzi,검은얼굴뭉툭맵시벌
Tryphon (Symboethus) punctatus,흑점뭉툭맵시벌
Tryphon (Tryphon) abditus,뭉툭맵시벌
Ulesta agitata,오목맵시벌
Virgichneumon albilineatus,그멜린맵시벌
Vulgichneumon lissolaba,흰끝마디맵시벌
Vulgichneumon suigensis,수원맵시벌
Xanthopimpla punctata,점박이꼬리납작맵시벌
Xenoschesis (Xenoschesis) crassicornis,바수염뭉툭맵시벌
Xorides jezoensis,에조꼬리납작맵시벌
Xorides konumensis,흰발목마디납작맵시벌
Xorides sapporensis,흰점박이납작맵시벌
Xylophrurus coreensis,코리아뾰족맵시벌
Xylophrurus melanius,멜란뾰족맵시벌
Yamatarotes bicolor,두색곤봉납작맵시벌
Zaglyptus iwatai,이와타납작맵시벌
Zanthojoppa speciosa,검정어리수염맵시벌
Leucospis japonica,밑들이벌
Anthidiellum strigatum,동글알락가위벌
Anthidium (Anthidium) septemspinosum,열점박이알락가위벌
Anthidium (Anthidium) sibiricum,꼬마알락가위벌
Coelioxys fenestratus,뾰족벌
Coelioxys hiroba,노란줄뾰족벌
Coelioxys hosoba,애뾰족벌
Coelioxys quadridentata,사치뾰족벌
Coelioxys yanonis,야노뾰족벌
Euaspis basalis,주홍배가위벌
Hoplitis leucomelana,윤어리민뿔가위벌
Hoplitis scita,어리민뿔가위벌
Lasanthidium malaisei,줄알락가위벌
Megachile abluta,화장가위벌
Megachile analis,꼬까가위벌
Megachile humilis,어리장미가위벌
Megachile kyotensis,꼬마가위벌
Megachile lagopoda,큰수중다리가위벌
Megachile lapponica,노란줄가위벌
Megachile maritima,수중다리가위벌
Megachile nipponica,장미가위벌
Megachile pseudomonticola,장수가위벌
Megachile remota,극동가위벌
Megachile remotissima,어리극동가위벌
Megachile rixator,지나가위벌
Megachile sculpturalis,왕가위벌
Megachile spissula,애가위벌
Megachile subtranquilla,흰줄가위벌
Megachile tsurugensis,검은장미가위벌
Megachile xanthothrix,두색가위벌
Megachile yasumatsui,흰장미가위벌
Osmia cornifrons,머리뿔가위벌
Osmia excavata,흰줄뿔가위벌
Osmia ishikawai,검은배민뿔가위벌
Osmia jacoti,꼬마민뿔가위벌
Osmia opima,큰뿔가위벌
Osmia orientalis,참민뿔가위벌
Osmia pedicornis,뿔가위벌
Osmia satoi,외뿔가위벌
Osmia taurus,붉은뿔가위벌
Stelis melanura,검정알락가위벌
Megalodontes spiraeae,빗니수염잎벌
Dendrocerus carpenteri,진디먹좀벌
Dendrocerus floridanus,긴진디먹좀벌
Dendrocerus pupparum,꽃등에진디먹좀벌
Dendrocerus ramicornis,큰진디먹좀벌
Bischoffitilla exilipunctata,짧은종아리개미벌
Bischoffitilla strangulata,긴종아리개미벌
Cystomutilla teranishii,쌍혹개미벌
Dasylabris intermedia,흰털개미벌
Dasylabris (Dasylabris) siberica,노랑무늬개미벌
Mutilla mikado,구주개미벌
Myrmosa eos,검날개개미벌
Myrmosa mongolica,연날개개미벌
Myrmosa nigrofasciata,세니개미벌
Nemka wotani,쌍니개미벌
Neotrogaspidia pustulata,밑분홍개미벌
Smicromyrme lewisi,별개미벌
Smicromyrme (Erimyrme) bidenticulata,오목개미벌
Ormyrus flavitibialis,노랑다리남색꼬리좀벌
Ormyrus pomaceus,큰다리남색꼬리좀벌
Orussus coreanus,벌레살이송곳벌
Cephalcia alpina,알프스납작잎벌
Cephalcia nigricoxae,겉노랑납작잎벌
Cephalcia sachalinensis,화태납작잎벌
Chrysolyda leucocephala,노란주둥이납작잎벌
Neurotoma atrata,검정납작잎벌
Neurotoma coreana,고려납작잎벌
Neurotoma iridescens,무지개납작잎벌
Neurotoma satoi,수원납작잎벌
Neurotoma sibirica,시베리아납작잎벌
Onycholyda armata,얼룩납작잎벌
Onycholyda nigroclypeata,테누이스잎벌
Onycholyda odaesana,진고개얼룩납작잎벌
Onycholyda sertata,무산령얼룩납작잎벌
Onycholyda viriditibialis,청종아리납작잎벌
Onycholyda zinovjevi,초곡얼룩납작잎벌
Pamphilius coreanus,황다리납작잎벌
Pamphilius rhoae,광릉납작잎벌
Pamphilius varius,어리북방납작잎벌
Allostemma bicolor,원시납작먹좀벌
Allotropa burrelli,가루깍지납작먹좀벌
Amblyaspis koreana,부채납작먹좀벌
Amblyaspis roboris,보석납작먹좀벌
Ceratacis cochleata,가는가시민날개납작먹좀벌
Ceratacis flavipes,노란다리납작먹좀벌
Encyrtoscelio apterus,납작검정알벌
Eumicrosoma phaeax,가는날개검정알벌
Fusicornia koreica,한국검정알벌
Gastrotrypes caudatus,긴마디납작먹좀벌
Gryon hakonense,허리검정알벌
Gryon japonicum,노린재검정알벌
Gryon misellum,별검정알벌
Gryon yamagishii,극동검정알벌
Inostemma hockpari,혹파리등뿔먹좀벌
Inostemma matsutama,혹파리뿔먹좀벌
Inostemma seoulis,솔잎혹파리뿔납작먹좀벌
Iphitrachelus lar,네발목마디납작먹좀벌
Paratelenomus saccharalis,사탕검정알벌
Platygaster matsutama,혹파리살이먹좀벌
Proteleas nefrens,창살검정알벌
Proteleas sulcatus,이랑검정알벌
Pseudaphanomerus hyalinatus,유리납작먹좀벌
Telenomus benefactor,파리검정알벌
Telenomus cirphivorus,백운검정알벌
Telenomus dendrolimi,송충검정알벌
Telenomus dignus,명충검정알벌
Telenomus gifuensis,갈색검정알벌
Telenomus koreanus,고려검정알벌
Telenomus monodactylus,가시검정알벌
Telenomus nakagawai,풀색검정알벌
Telenomus nawai,애검정알벌
Telenomus rowani,꼬마검정알벌
Telenomus strelzovi,장님검정알벌
Telenomus sudoensis,수도검정알벌
Trichacoides hirsutus,잔가시납작먹좀벌
Trissolcus gonopsidis,억새큰검정알벌
Trissolcus mitsukurii,알락수염큰검정알벌
Trissolcus yamagishii,가야큰검정알벌
Anospilus carbonicolor,검정대모벌
Aporus (Aporus) unicolor,땅거미잡이대모벌
Arachnospila (Ammosphex) subvittata,갈색수염대모벌
Auplopus carbonarius carbonarius,둥근흙집대모벌
Auplopus constructor,흰줄대모벌
Auplopus kyotensis,작은가슴구멍대모벌
Auplopus pacificus,검은대양주대모벌
Auplopus pygialis,검은밑더듬이대모벌
Auplopus takachihoi,거미다잡이대모벌
Ceropales (Bifidoceropales) pygmaea tsunekii,민무늬검은대모벌
Ceropales (Ceropales) maculata maculata,무늬대모벌
Clistoderes (Paraclistoderes) futabae,볼록이마대모벌
Cryptocheilus (Adonta) gyrifrons,검은가슴황대모벌
Cryptocheilus (Adonta) manchurianus,만주대모벌
Ctenopriocnemis filicornis,긴더듬이대모벌
Cyphononyx fulvognathus,대모벌
Deuteragenia albiclypeata,은빛털대모벌
Deuteragenia bifasciata,회색털대모벌
Eopompilus internalis,빌로오드대모벌
Eopompilus minor,애빌로오드대모벌
Episyron arrogans,허리무늬대모벌
Episyron candiotum,흰무늬대모벌
Evagetes deirambo,긴등판대모벌
Evagetes littoralis,해변대모벌
Homonotus japonicus,각진머리대모벌
Irenangelus hikosanus,노랑대모벌
Irenangelus nambui,유리날개대모벌
Lophopompilus samariensis,왕무늬대모벌
Myrmecodipogon choii,검은더듬이대모벌
Parabatozonus annulatus,황띠대모벌
Parabatozonus jankowskii,얼굴무늬대모벌
Parabatozonus maculifrons,쌍눈대모벌
Paracyphononyx alienus,청띠대모벌
Platydialepsis ryoheii,료헤이대모벌
Poecilagenia maruyamai,민머리대모벌
Priocnemis (Priocnemis) fenestrata,붉은배끝두줄대모벌
Priocnemis (Priocnemis) pseudopogonia,긴털두줄대모벌
Priocnemis (Umbripennis) gussakovskii,검은점날개두줄대모벌
Priocnemis (Umbripennis) irritabilis,먹띠대모벌
Priocnemis (Umbripennis) japonica,세모무늬두줄대모벌
Priocnemis (Umbripennis) ussuriensis,검은머리털두줄대모벌
Brachyserphus acuticaudatus,갈색수염짧은허리먹좀벌
Brachyserphus hawaiiensis,가슴주름짧은허리먹좀벌
Brachyserphus parvulus,작은짧은허리먹좀벌
Brachyserphus semipunctatus,어리짧은허리먹좀벌
Disogmus areolator,큰맥먹좀벌
Ardilea convexa,해안금좀벌
Asaphes suspensus,남색진디금좀벌
Asaphes vulgaris,진디벌살이금좀벌
Caenacis peroni,혹살이금좀벌
Callitula fulvipes,민허리금좀벌
Chlorocytus koreanus,고려금좀벌
Cleonymus longinervus,길쭉금좀벌
Conomorium patulum,나방살이금좀벌
Coruna clavata,곤봉진디금좀벌
Dibrachys microgastri,황다리금좀벌
Euneura lachni,털검정진디금좀벌
Euneura sopolis,검정진디금좀벌
Lamprotatus cariniferum,완도가시금좀벌
Lariophagus distinguendus,바구미살이금좀벌
Mesopolobus yasumatsui,꼬마금좀벌
Mokrzeckia pini,고치금좀벌
Muscidifurax raptor,배노랑금좀벌
Nasonia vitripennis,파리금좀벌
Notoglyptus scutellaris,서호납작금좀벌
Pachyneuron aphidis,세마디진디금좀벌
Pachyneuron groenlandicum,꼬마진디금좀벌
Pachyneuron solitarium,진디금좀벌
Pteromalus puparum,배추벌레살이금좀벌
Rakosina deplanata,갈대금좀벌
Rhicnocoelia constans,황야금좀벌
Spalangia endius,집파리금좀벌
Spalangia nigra,검정파리금좀벌
Spalangia nigroaenea,검정집파리금좀벌
Spaniopus japonicus,짧은다리금좀벌
Sphegigaster hamugurivora,긴허리금좀벌
Trichomalopsis apanteloctena,어리금좀벌
Trichomalopsis closterae,북방어리금좀벌
Trichomalopsis deplanata,납작어리금좀벌
Trichomalopsis oryzae,수원어리금좀벌
Trichomalopsis pappi,개성어리금좀벌
Trichomalopsis shirakii,일본어리금좀벌
Polochridium eoum,진무당벌
Sapyga coma,무당벌
Campsomeriella annulata annulata,애배벌
Liacos erythrosoma,두색배벌
Megacampsomeris grossa matsumurai,긴배벌
Megacampsomeris prismatica,금테줄배벌
Megacampsomeris schulthessi,배벌
Megacampsomeris uchidai,우찌다배벌
Sirex nitobei,니토베송곳벌
Tremex apicalis,호도송곳벌
Tremex contractus,좁은가슴참송곳벌
Tremex fuscicornis,얼룩송곳벌
Tremex longicollis,넓적다리송곳벌
Tremex nigrocephalus,검은머리참송곳벌
Urocerus antennatus,수염송곳벌
Urocerus yasushii,야스시송곳벌
Xeris spectrum spectrum,긴송곳벌
Xoanon matsumurae,호랑무늬송곳벌
Ammophila campestris,애기나나니
Ammophila infesta,나나니
Ammophila sickmanni,식크맨나나니
Ammophila vagabunda,꼬마나나니
Chalybion japonicum,보석나나니
Hoplammophila aemulans,왕나나니
Isodontia harmandi,홍다리조롱박벌
Isodontia nigella,먹조롱박벌
Palmodes occitanicus,홍배조롱박벌
Podalonia affinis,큰애기나나니
Prionyx subfuscatus,어리조롱박벌
Sceliphron caementarium,애검은나나니
Sceliphron deforme atripes,노랑점나나니
Sceliphron madraspatanum kohli,애황나나니
Sphex subtruncatus,로시조롱박벌
Parastephanellus matsumotoi,어리머리뿔호리벌
Schlettererius determinatoris,큰머리뿔호리벌
Aglaostigma sapporonis,홍점가슴잎벌
Aglaostigma (Aglaostigma) amoorense,아무우르잎벌
Aglaostigma (Macrophyopsis) nebulosum,먹가슴노랑잎벌
Aglaostigma (Macrophyopsis) occipitosum,홍등잎벌
Allantus exitus,넉점박이검정날개잎벌
Alphastromboceros konowi,동방잎벌
Aneugmenus carinifrons,이마무늬잎벌
Aneugmenus coronatus,둥근혹줄잎벌
Aneugmenus japonicus,일본혹줄잎벌
Aneugmenus maculatus,점박이혹줄잎벌
Aneugmenus temporalis,검정혹줄잎벌
Apareophora coreana,고려잎벌
Apareophora forsythiae,개나리잎벌
Apareophora nigrotegula,검정어깨고려잎벌
Aphymatocera coreana,참수염잎벌
Armitarsus minutus,작은가시다리잎벌
Armitarsus punctifemoratus,가시다리잎벌
Asiemphytus esakii,긴배잎벌
Athalia circularis,벤슨잎벌
Athalia infumata,연무잎벌
Athalia japonica,왜무잎벌
Athalia kashmirensis,흰입술무잎벌
Athalia lugens,동방무잎벌
Athalia proxima,두색무잎벌
Athalia rosae rosae,가시무잎벌
Athalia rosae ruficornis,무잎벌
Beleses satonis,광대발톱잎벌
Caliroa carinata,남포잎벌
Caliroa matsumotonis,복숭아잎벌
Caliroa oishii,참나무잎벌
Cladardis hartigi,작은줄고려노랑잎벌
Cladius (Cladius) pectinicornis,빗살수염잎벌
Cladius (Priophorus) compressicornis,장다리수염잎벌
Cladius (Trichiocampus) populi,포플라잎벌
Conaspidia guttata,굵은무늬날개잎벌
Corymbas koreana,진허리노란잎벌
Corymbas nipponica,일본허리노란잎벌
Craesus japonicus,넓적다리잎벌
Craesus juglandis,호두나무동양잎벌
Craesus nigrodorsatus,검정이랑동양잎벌
Dineura testaceipes,금강수염잎벌
Dineura virididorsata,큰점박이잎벌
Dolerus coreanus,조선잎벌
Dolerus ephippiatus,등빨간잎벌
Dolerus lewisii,루이스잎벌
Dolerus okeanskajensis,가야잎벌
Dolerus (Achaetoprion) madidus,마디두스잎벌
Dolerus (Dolerus) armillatus,어리노랑배잎벌
Dolerus (Dolerus) cothurnatus,노랑배댕기잎벌
Dolerus (Dolerus) japonicus,왜잎벌
Dolerus (Equidolerus) gessneri,큰검정잎벌
Dolerus (Loderus) gilvipes gilvipes,털복숭하늘잎벌
Dolerus (Oncodolerus) eversmanni eversmanni,긴꼬리하늘잎벌
Dolerus (Poodolerus) coracinus,꼬마검정잎벌
Dolerus (Poodolerus) liogaster liogaster,등홍모자무늬잎벌
Empria tridentis,배흰점박이머리방패잎벌
Eriocampa albipes,현무잎벌
Eriocampopsis subtruncata,민둥잎벌
Eutomostethus metallicus,금치레잎벌
Eutomostethus tricolor,수정잎벌
Fenella continuata,영강잎벌
Fenella crenata,크레나타잎벌
Fenella excavata,공동잎벌
Fenella nigrita,서양나무잎벌
Hemibeleses nigriceps,검정머리무늬잎벌
Hemibeleses ventralis,큰등무늬잎벌
Hemichroa koreana,수원노랑가슴잎벌
Heterarthrus microcephalus,대두꼬마잎벌
Hoplocampa coreana,애배잎벌
Macrophya coxalis,애황종아리잎벌
Macrophya fascipennis,울도잎벌
Macrophya obesa,뚱뚱보검정잎벌
Macrophya timida,좀검정잎벌
Megadineura grandis,긴수염잎벌
Megatomostethus crassicornis,곤봉잎벌
Mesoneura koreana,어깨두점박이잎벌
Metallus adamantis,광택꼬마잎벌
Metallus satoi,사토이광택꼬마잎벌
Nesoselandria morio,북극잎벌
Nesotaxonus fulvus,황갈무리잎벌
Okutanius lobatus,한국잎벌
Pachynematus (Pachynematus) clitellatus,삼지연이깔나무잎벌
Pachynematus (Polynematus) hirowatarii,북방이깔나무잎벌
Pachyprotasis albicincta,흰줄향로잎벌
Pachyprotasis antennata,수염호리검정잎벌
Pachyprotasis glabrata,둥근호리잎벌
Pachyprotasis nigronotata,등검은잎벌
Pachyprotasis rapae,호리검정잎벌
Pachyprotasis variegata,향로잎벌
Parna parvitatis,꼬마잎벌
Periclista patura,선녀잎벌
Periclista satoi,사토선녀잎벌
Periclista serratae,모난선녀잎벌
Periclista suweonensis,수원선녀잎벌
Phyllocolpa oblita,뾰족잎벌
Phymatocera nipponica,둥굴레잎벌
Phymatoceriola suigenensis,꼬마바수염잎벌
Pristiphora gayaensis,가야테두리잎벌
Pristiphora nigricorpus,검정이깔나무잎벌
Pristiphora (Lygaeonematus) erichsonii,낙엽송테두리잎벌
Pristiphora (Lygaeonematus) glauca,노랑이깔나무잎벌
Pristiphora (Lygaeonematus) wesmaeli,검정테두리잎벌
Pristiphora (Lygaeotus) mollis,갈대테두리잎벌
Pristiphora (Pristiphora) aphantoneura,황갈다리테두리잎벌
Pristiphora (Pristiphora) melanocarpa,하티그테두리잎벌
Pristiphora (Pristiphora) nigrocoreana,북방테두리잎벌
Pristiphora (Pristiphora) pallidiventris,황철나무잎벌
Pristiphora (Stauronematus) platycerus,십자수염잎벌
Profenusa castaneivora,참나무꼬마잎벌
Pseudostromboceros frontalis,검정날개줄잎벌
Pseudostromboceros suis,뚱보줄잎벌
Rhogogaster nigriventris,시베리아상제잎벌
Rhogogaster opacella,상제잎벌
Senoclidea koreana,고려노랑잎벌
Senoclidea nozakae,오색잎벌
Siobla ferox,홍허리잎벌
Siobla nigricruris,검정다리루리잎벌
Siobla ruficornis,붉은뿔잎벌
Siobla venusta apicalis,광릉홍허리잎벌
Siobla zenaida,홍다리루리잎벌
Stethomostus flavicollaris,노란목도리잎벌
Stromboceros delicatulus,호색잎벌
Stromboceros koebelei,쾨벨잎벌
Strongylogaster filicis,끝검정잎벌
Taxonus abdominis,배검은먹잎벌
Taxonus delumbis,허리먹잎벌
Taxonus fulvicornis,뿔잎벌
Tenthredo mortivaga,황호리병잎벌
Tenthredo providens,날개무늬잎벌
Tenthredo pseudolivacea omega,어리올리브잎벌
Tomostethus juglans,호두나무잎벌
Tomostethus nigritus,검정꼬마잎벌
Zaphymatocera typica,누런종아리잎벌
Methocha articulata,호리굼벵이벌
Tiphia agilis,뺀들굼벵이벌
Tiphia antigenata,꼬마굼벵이벌
Tiphia autumnalis,로오워굼벵이벌
Tiphia brevilineata,단선굼벵이벌
Tiphia burrelli,밑날개홈굼벵이벌
Tiphia fossata,줄굼벵이벌
Tiphia fuscopterum,검은날개굼벵이벌
Tiphia hasegawai,가는굼벵이벌
Tiphia homoncularis,가로홈줄굼벵이벌
Tiphia juliana fuzanensis,부산굼벵이벌
Tiphia kaineiana,쇠굼벵이벌
Tiphia koreana,참굼벵이벌
Tiphia latistriata,넓은줄굼벵이벌
Tiphia malayana,말라야굼벵이벌
Tiphia ordinaria,두줄굼벵이벌
Tiphia ovidorsalis,알렌굼벵이벌
Tiphia popilliavora,왕굼벵이벌
Tiphia rufomandibulata,극동굼벵이벌
Tiphia sternocarinata,배굼벵이벌
Tiphia sternodentata,가시굼벵이벌
Tiphia sulcatus,홈줄굼벵이벌
Tiphia takeuchii,북방굼벵이벌
Tiphia totopunctata,곰보굼벵이벌
Tiphia vernalis,봄굼벵이벌
Megastigmus inamurae,낙엽송꼬리좀벌
Monodontomerus dentipes,가시꼬리좀벌
Monodontomerus minor,송충살이꼬리좀벌
Podagrion nipponicum,사마귀꼬리좀벌
Torymus geranii,남색긴꼬리좀벌
Torymus koreanus,밤색긴꼬리좀벌
Oligosita krygeri,매미충알벌
Paracentrobia andoi,벼멸구알벌
Trichogramma australicum,호주알벌
Trichogramma chilonis,명충알벌
Trichogramma dendrolimi,송충알벌
Trichogramma evanescens,쌀좀알벌
Trichogramma japonicum,왜명충알벌
Trichogramma jezoense,왜알벌
Taeniogonalos fasciata,등빨간갈고리벌
Taeniogonalos mongolica,누런갈고리벌
Taeniogonalos tricolor,삼색갈고리벌
Allodynerus delphinalis delphinalis,북방감탕벌
Allodynerus mandschuricus,만주감탕벌
Ancistrocerus coreanus,한국털감탕벌
Ancistrocerus densepilosellus,짧은배털감탕벌
Ancistrocerus japonicus,일본털감탕벌
Ancistrocerus mongolicus,몽골털감탕벌
Ancistrocerus oviventris oviventris,줄털감탕벌
Ancistrocerus parietinus,털감탕벌
Ancistrocerus parietum,참줄털감탕벌
Ancistrocerus scoticus,세줄털감탕벌
Ancistrocerus trifasciatus shibuyai,긴배털감탕벌
Antepipona biguttata,가시감탕벌
Anterhynchium flavomarginatum flavomarginatum,황슭감탕벌
Anterhynchium flavomarginatum koreanum,한국황슭감탕벌
Anterhynchium flavomarginatum tsushimarum,대마도황슭감탕벌
Anterhynchium melanopterum,검은날개황슭감탕벌
Discoelius dufourii dufourii,듀포리띠호리병벌
Discoelius zonalis,북방띠호리병벌
Dolichovespula kuami,구암중땅벌
Dolichovespula media,중땅벌
Dolichovespula pacifica,삼지연중땅벌
Dolichovespula saxonica,북방중땅벌
Ectopioglossa taiwana,긴호리병벌
Eumenes aquilonius,작은민호리병벌
Eumenes kiangsuensis,긴배호리병벌
Eumenes labiatus jejuensis,제주호리병벌
Eumenes mediterraneus manchurianus,만주호리병벌
Eumenes punctatus,점호리병벌
Eumenes rubronotatus,민호리병벌
Euodynerus dantici violaceipennis,별감탕벌
Euodynerus nipanicus nipanicus,점무늬별감탕벌
Euodynerus quadrifasciatus atripes,털별감탕벌
Euodynerus trilobus,십자별감탕벌
Leptomicrodynerus tieshengi,납작감탕벌
Oreumenes decoratus,큰호리병벌
Parapolybia varia,뱀허물쌍살벌
Pararrhynchium ornatum bifasciatulum,두줄감탕벌
Pararrhynchium paradoxum paradoxum,줄감탕벌
Pareumenes quadrispinosus,사치호리병벌
Rhynchium quinquecintum fukaii,고동배감탕벌
Stenodynerus chinensis kalinowskii,칼리노스키꼬마감탕벌
Stenodynerus clypeopictus,민이마방패꼬마감탕벌
Stenodynerus coreanus,머리혹꼬마감탕벌
Stenodynerus frauenfeldi,무늬꼬마감탕벌
Stenodynerus funebris,검은꼬마감탕벌
Stenodynerus pullus,어리꼬마감탕벌
Stenodynerus tergitus,배꼬마감탕벌
Stenodynerus tokyanus tokyanus,극동꼬마감탕벌
Symmorphus ambotretus,머리홈타기잎벌레살이감탕벌
Symmorphus angustatus,가는잎벌레살이감탕벌
Symmorphus apiciornatus,주름잎벌레살이감탕벌
Symmorphus bifasciatus,두줄잎벌레살이감탕벌
Symmorphus carinatus,용골잎벌레살이감탕벌
Symmorphus decens,이마방패잎벌레살이감탕벌
Symmorphus foveolatus,긴잎벌레살이감탕벌
Symmorphus lucens,광택잎벌레살이감탕벌
Symmorphus mizuhonis,북방잎벌레살이감탕벌
Symmorphus murarius,두정홈타기잎벌레살이감탕벌
Symmorphus tsushimanus,대마도잎벌레살이감탕벌
Vespa analis,좀말벌
Vespa crabro,말벌
Vespa ducalis,꼬마장수말벌
Vespa dybowskii,검정말벌
Vespa mandarinia,장수말벌
Vespa simillima,털보말벌
Vespa velutina,등검은말벌
Vespula austriaca,기생땅벌
Vespula flaviceps,땅벌
Vespula koreensis,참땅벌
Vespula rufa,노랑띠땅벌
Vespula shidai,흰띠땅벌
Vespula vulgaris,구북구땅벌
Euxiphydria potanini,붉은머리어리목대장송곳벌
Xiphydria camelus,구주목대장송곳벌
Megaxyela parki,오대산칼잎벌
Adela praepilosa,비단긴수염나방
Nematopogon distincta,그물무늬긴수염나방
Nematopogon magna,백두긴수염나방
Nemophora amatella,우리긴수염나방
Nemophora askoldella,아스콜드긴수염나방
Nemophora aurifera,노란줄긴수염나방
Nemophora raddei,버들긴수염나방
Alucita japonica,참빗깃털나방
Pterotopteryx koreana,한국깃털나방
Pterotopteryx spilodesma,얼룩깃털나방
Autosticha dimochla,혹붙이원뿔나방
Autosticha opaca,세점낙엽뿔나방
Autosticha pachysticta,바둑점원뿔나방
Autosticha pyungyangensis,평양점원뿔나방
Autosticha suwonensis,수원점원뿔나방
Autosticha truncicola,세로점원뿔나방
Batrachedra koreana,백두뿔나방
Bedellia somnulentella,메꽃굴나방
Bombyx mandarina,멧누에나방
Bombyx mori,누에나방
Oberthueria caeca,물결멧누에나방
Oberthueria falcigera,참물결멧누에나방
Brahmaea certhia,왕물결나방
Brahmaea tancrei,산왕물결나방
Pterodecta felderi,뿔나비나방
Carposina coreana,산수유심식나방
Carposina sasakii,복숭아심식나방
Commatarcha vaga,흰점검은심식나방
Meridarchis excisa,어깨무늬심식나방
Meridarchis jumboa,삼각무늬심식나방
Choreutis hyligenes,황물결뭉뚝날개나방
Homadaula anisocentra,자귀뭉뚝날개나방
Prochoreutis hadrogastra,테두리뭉뚝날개나방
Prochoreutis solaris,백두산뭉뚝날개나방
Prochoreutis subdelicata,참테두리뭉뚝날개나방
Tebenna issikii,우엉뭉뚝날개나방
Blastobasis parki,박밑두리뿔나방
Blastobasis spiniella,작은밑두리뿔나방
Blastobasis sprotundalis,흰밑두리뿔나방
Coleophora adspersella,황갈색통나방
Coleophora albicans,백색통나방
Coleophora cristata,깃털통나방
Coleophora currucipennella,은백날개통나방
Coleophora elodella,노랑날개통나방
Coleophora enkomiella,연갈색통나방
Coleophora eurasiatica,유라시아통나방
Coleophora falkovitshella,갈색줄통나방
Coleophora flavovena,산쑥잎통나방
Coleophora honshuella,제주통나방
Coleophora japonicella,느릅통나방
Coleophora juncivora,곱풀통나방
Coleophora kononenkoi,삼악산통나방
Coleophora koreana,우리통나방
Coleophora melanograpta,참나무통나방
Coleophora obducta,잎갈나무통나방
Coleophora parki,강원통나방
Coleophora quercicola,신갈나무통나방
Coleophora rectimarginalis,우포통나방
Coleophora silenella,큰날개통나방
Coleophora sternipennella,암갈색통나방
Coleophora therinella,갈색날개통나방
Coleophora versurella,명아주통나방
Coleophora vestianella,연노랑통나방
Coleophora vibicigerella,톱풀통나방
Holcoceroides scythrella,민무늬밑두리뿔나방
Hypatopa silvestrella,큰밑두리뿔나방
Hypatopa tianshanica,갈색밑두리뿔나방
Microcolona aurantiella,산속먹이뿔나방
Neoblastobasis biceratala,쌍돌기밑두리뿔나방
Neoblastobasis decolor,남방밑두리뿔나방
Trachydora ussuriella,우수리속먹이뿔나방
Anatrachyntis japonica,세모창날개뿔나방
Cosmopterix attenuatella,들창날개뿔나방
Cosmopterix bichromella,창날개뿔나방
Cosmopterix fulminella,대창날개뿔나방
Cosmopterix gracilis,섬대창날개뿔나방
Cosmopterix infundibulella,반도창날개뿔나방
Cosmopterix kurokoi,흑자창날개뿔나방
Cosmopterix lienigiella,갈대창날개뿔나방
Cosmopterix rhynchognathosella,무늬창날개뿔나방
Cosmopterix schmidiella,나물창날개뿔나방
Cosmopterix victor,이대창날개뿔나방
Cosmopterix zieglerella,섬모시창날개뿔나방
Labdia antennella,그늘창날개뿔나방
Labdia bicolorella,멋장이창날개뿔나방
Labdia issikii,낙엽창날개뿔나방
Labdia semicoccinea,세미창날개뿔나방
Limnaecia phragmitella,큰창날개뿔나방
Pancalia hexachrysa,은빛줄창날개뿔나방
Cossus arenicolus,굴벌레작은나방
Cossus cossus,굴벌레큰나방
Cossus vicarius,굴벌레나방
Zeuzera multistrigata,알락굴벌레나방
Agriphila aeneociliella,긴날개포충나방
Agriphila straminella,노랑빗살풀명나방
Agrotera nemoralis,연보라들명나방
Agrotera posticalis,검은보라들명나방
Analthes maculalis,제비날개들명나방
Analthes semitritalis,홀씨무늬들명나방
Anania funebris,여덟무늬들명나방
Anania verbascalis,각시뾰족들명나방
Ancylolomia japonica,벼포충나방
Botyodes diniasalis,포플라잎말이명나방
Botyodes principalis,큰점노랑들명나방
Bradina atopalis,흰점줄들명나방
Bradina geminalis,외줄들명나방
Calamotropha okanoi,점흰풀명나방
Calamotropha paludella,흰풀명나방
Camptomastix hisbonalis,흰가슴들명나방
Carminibotys carminalis,분홍애기들명나방
Chabula onychinalis,점알락들명나방
Chabula telphusalis,팥무늬들명나방
Chilo luteellus,이화명나방붙이
Chilo suppressalis,이화명나방
Chrysoteuchia atrosignata,얼룩포충나방
Chrysoteuchia diplogramma,갈색줄무늬포충나방
Chrysoteuchia distinctella,점붙이포충나방
Chrysoteuchia mandschurica,만주포충나방
Chrysoteuchia porcelanella,검은빛포충나방
Chrysoteuchia pyraustoides,검정풀명나방
Circobotys aurealis,멋장이들명나방
Circobotys heterogenalis,날개노랑들명나방
