scientific_name,korean_name
Neoleptonema yongpilii,가는모자반털
Leptonematella fasciculata,홑가는털
Papenfussiella kuromo,연두털말
Phaeophysema pulvinata,넓바위두둑사촌
Protectocarpus speciosus,가지반점말
Punctaria flaccida,보들넓은미역쇠
Punctaria latifolia,넓은미역쇠
Punctaria plantaginea,댕기넓은미역쇠
Punctaria projecta,연넓은미역쇠
Sphaerotrichia firma,잔가지말
Tinocladia crassa,부푼말
Vimineoleathesia japonica,애기구슬바위두둑
Petrospongium rugosum,바위주름
Colpomenia claytoniae,큰불레기말
Colpomenia ecuticulata,벗은불레기말
Colpomenia expansa,다실불레기말
Colpomenia peregrina,반질불레기말
Colpomenia sinuosa,불레기말
Colpomenia tuberculata,혹불레기말
Compsonema sporangiiferum,물수염란
Hydroclathrus clathratus,그물바구니
Myelophycus cavus,꼬인바위수염
Myelophycus simplex,바위수염
Petalonia binghamiae,미역쇠
Petalonia fascia,개미역쇠
Petalonia zosterifolia,미역실
Scytosiphon canaliculatus,매끈이고리매
Scytosiphon dotyi,꼬인고리매
Scytosiphon lomentaria,잘록이고리매
Stragularia clavata,개바위딱지
Silvetia babingtonii,바빙톤뜸부기
Silvetia siliquosa,뜸부기
Fucus evanescens,돌말
Coccophora langsdorfii,삼나무말
Stephanocystis hakodatensis,팥꼴헛모자반
Myagropsis myagroides,외톨개모자반
Sargassum autumnale,싸리비모자반
Sargassum confusum,알쏭이모자반
Sargassum coreanum,큰잎모자반
Sargassum fulvellum,모자반
Sargassum fusiforme,톳
Sargassum giganteifolium,큰톱날모자반
Sargassum hemiphyllum,짝잎모자반
Sargassum horneri,괭생이모자반
Sargassum macrocarpum,큰열매모자반
Sargassum micracanthum,잔가시모자반
Sargassum microceratium,명주실잎모자반
Sargassum miyabei,검은싸리모자반
Sargassum muticum,경단구슬모자반
Sargassum nigrifolium,검둥모자반
Sargassum nipponicum,꼬마모자반
Sargassum okamurae,새끼실모자반
Sargassum pallidum,큰잎알쏭이모자반
Sargassum patens,쌍발이모자반
Sargassum piluliferum,구슬모자반
Sargassum pinnatifidum,갈래잎모자반
Sargassum sagamianum,비틀대모자반
Sargassum serratifolium,톱니모자반
Sargassum siliquastrum,꽈배기모자반
Sargassum siliquosum,구직말
Sargassum tenuifolium,엷은잎모자반
Sargassum thunbergii,지충이
Sargassum yamadae,꼰실모자반
Sargassum yendoi,긴자루구슬모자반
Sargassum yezoense,덤불모자반
Turbinaria ornata,왕관잎모자반
Ishige foliacea,넓패
Ishige okamurae,패
Alaria esculenta,나래미역
Undaria crenata,다실미역
Undaria pinnatifida,미역
Undaria undarioides,넓곽
Chorda asiatica,끈말
Agarum clathratum subsp. yakishiriense,구멍쇠미역
Costaria costata,쇠미역
Saccharina cichorioides,주름다시마
Saccharina japonica,다시마
Saccharina japonica var. ochotensis,북방다시마
Saccharina japonica var. religiosa,애기다시마
Saccharina latissima,가는다시마
Ecklonia cava,감태
Eisenia bicyclis,대황
Neoralfsia expansa,먹돌새바위딱지
Analipus japonicus,헛가지말
Heteroralfsia saxicola,외가지말
Ralfsia confusa,넓바위딱지
Ralfsia fungiformis,가는바위딱지
Ralfsia integra,둥근바위딱지
Sphacelaria californica,굵은갯쇠털
Sphacelaria didichotoma,누은갯쇠털
Sphacelaria fusca,세가닥갯쇠털
Sphacelaria lutea,누른갯쇠털
Sphacelaria recurva,뒷가지갯쇠털
Sphacelaria rigidula,가위갯쇠털
Sphacelaria solitaria,외톨이갯쇠털
Sphacelaria yamadae,갈래끝갯쇠털
Halopteris filicina,바다깃꼴
Carpomitra costata,줄의관말
Sporochnus moorei,무어털비말
Sporochnus radiciformis,털비말
Goniotrichopsis reniformis,부채털
Stylonema alsidii,마디털
Stylonema cornu-cervi,쇠뿔마디털
Erythrocladia irregularis,갯불꽃
Erythrotrichia biseriata,두줄붉은털
Erythrotrichia carnea,붉은털
Erythrotrichia reflexa,굽은붉은털
Erythrotrichia parietalis,홍별붉은털
Erythrotrichia tetraseriata,겹붉은털
Porphyrostromium japonicum,넓은붉은털
Sahlingia subintegra,갯불꽃사촌
Bangia fuscopurpurea,김파래
Bangia gloiopeltidicola,털김파래
Porphyra akasakae,얇은긴잎돌김
Porphyra angusta,쐐기꼴돌김
Porphyra irregularis,선홍긴잎돌김
Porphyra okamurae,오카무라돌김
Porphyra oligospermatangia,넓은참김
Porphyra suborbiculata f. latifolia,넓은둥근돌김
Pyropia crassa,부푼돌김
Pyropia onoi,오노돌김
Pyropia pseudolinearis,긴잎돌김
Pyropia seriata,모무늬돌김
Hildenbrandia crouaniorum,크로앙분홍딱지
Hildenbrandia rubra,진분홍딱지
Alatocladia modesta,참화살깃산호말
Amphiroa anastomosans,겹고리마디게발
Amphiroa anceps,넓은게발
Amphiroa beauvoisii,고리마디게발
Amphiroa echigoensis,왜게발
Amphiroa ephedraea,납작마디게발
Amphiroa foliacea,눈썹마디게발
Amphiroa galapagensis,잔디게발
Amphiroa itonoi,더부살이두층게발
Amphiroa misakiensis,난장이게발
Amphiroa pusilla,애기게발
Amphiroa rigida,몽우리두층게발
Amphiroa valonioides,둥근마디게발
Amphiroa zonalis,송이고리마디게발
Corallina aberrans,방황혹산호말
Corallina confusa,비늘산호말
Corallina officinalis,참산호말
Corallina pilulifera,작은구슬산호말
Corallina maxima,큰산호말
Ellisolandia elongata,긴가지산호말
Hydrolithon craspedium,장승가시돌잎
Hydrolithon farinosum,애기가시돌잎
Hydrolithon sargassi,모자반껍데기
