종합표,,,,,St.1,St.2,St.3,St.4,St.5,St.6,St.7,St.8,St.9,St.10,St.11,St.12,St.13,St.14,St.15,St.16,St.17,St.18,St.19,St.20,St.21,St.22,St.23,St.24,St.25,St.26,St.27,St.28,St.29,St.30,현지종합,문헌1,문헌2,문헌3,문헌4,문헌5,문헌6,문헌7,문헌8,문헌9,문헌10,문헌11,문헌12,문헌13,문헌14,문헌15,문헌16,문헌17,문헌18,문헌19,문헌20,문헌종합,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,분류군,,,서식지역,KSI,,,,,,ESB,,bmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bmi,
종합,현지,문헌,학명,국명,St.a,St.b,St.c,St.d,St.e,St.f,St.g,St.h,St.i,St.j,St.k,St.l,St.m,St.n,St.o,St.p,St.q,St.r,St.s,St.t,St.u,St.v,St.w,St.x,St.y,St.z,St.aa,St.ab,St.ac,St.ad,평균,문헌1,문헌2,문헌3,문헌4,문헌5,문헌6,문헌7,문헌8,문헌9,문헌10,문헌11,문헌12,문헌13,문헌14,문헌15,문헌16,문헌17,문헌18,문헌19,문헌20,문헌종합,St.1,St.2,St.3,St.4,St.5,St.6,St.7,St.8,St.9,St.10,St.11,St.12,St.13,St.14,St.15,St.16,St.17,St.18,St.19,St.20,St.21,St.22,St.23,St.24,St.25,St.26,St.27,St.28,St.29,St.30,현지종합,St.1,St.2,St.3,St.4,St.5,St.6,St.7,St.8,St.9,St.10,St.11,St.12,St.13,St.14,St.15,St.16,St.17,St.18,St.19,St.20,St.21,St.22,St.23,St.24,St.25,St.26,St.27,St.28,St.29,St.30,현지종합,,,멸종위기,서식지역,오탁계급치(S),지표가중치(G),ESB,AESB,FFG,ESB,TESB,AESB,오탁지수,지표가중치,St.a,St.b,St.c,St.d,St.e,St.f,St.g,St.h,St.i,St.j,St.k,St.l,St.m,St.n,St.o,St.p,St.q,St.r,St.s,St.t,St.u,St.v,St.w,St.x,St.y,St.z,St.aa,St.ab,St.ac,St.ad,현지종합,
종합,현지,문헌,학명,국명,St.a,St.b,St.c,St.d,St.e,St.f,St.g,St.h,St.i,St.j,St.k,St.l,St.m,St.n,St.o,St.p,St.q,St.r,St.s,St.t,St.u,St.v,St.w,St.x,St.y,St.z,St.aa,St.ab,St.ac,St.ad,현지종합,문헌1,문헌2,문헌3,문헌4,문헌5,문헌6,문헌7,문헌8,문헌9,문헌10,문헌11,문헌12,문헌13,문헌14,문헌15,문헌16,문헌17,문헌18,문헌19,문헌20,문헌종합,St.1,St.2,St.3,St.4,St.5,St.6,St.7,St.8,St.9,St.10,St.11,St.12,St.13,St.14,St.15,St.16,St.17,St.18,St.19,St.20,St.21,St.22,St.23,St.24,St.25,St.26,St.27,St.28,St.29,St.30,현지종합,St.1,St.2,St.3,St.4,St.5,St.6,St.7,St.8,St.9,St.10,St.11,St.12,St.13,St.14,St.15,St.16,St.17,St.18,St.19,St.20,St.21,St.22,St.23,St.24,St.25,St.26,St.27,St.28,St.29,St.30,현지종합,,,멸종위기,서식지역,오탁계급치(S),지표가중치(G),ESB,AESB,FFG,ESB,TESB,AESB,오탁지수,지표가중치,St.a,St.b,St.c,St.d,St.e,St.f,St.g,St.h,St.i,St.j,St.k,St.l,St.m,St.n,St.o,St.p,St.q,St.r,St.s,St.t,St.u,St.v,St.w,St.x,St.y,St.z,St.aa,St.ab,St.ac,St.ad,현지종합,
,,,   Class Turbellaria,   와충강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,  Order Tricladida,  삼기장목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family Planariidae, 플라나리아과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dugesia sp.,플라나리아류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,0.31,4,3,3,Unknown,3,3,3,0.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dugesia japonica,플라나리아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,0.31,4,3,3,Unknown,3,3,3,0.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Phagocata kawakatsui,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,0.31,4,3,4,Unknown,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Phagocata sp.,산골플라나리아류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,0.31,4,3,4,Unknown,2,4,4,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Schalloplana coreana,장님플라나리아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,0.31,4,3,3,Unknown,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Phagocata vivida,산골플라나리아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,0.31,4,4,4,Unknown,4,4,4,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,    Phylum Nemertina,    유형동물문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,   Class Pilidiophora,   (국명 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,  Order Heteronemertea,  (국명 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family Lineidae, 연두끈벌레과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lineidae sp.,연두끈벌레류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,,,,2,Unknown,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,    Phylum Nematomorpha,    유선형동물문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,   Class Gordioida,   연가시강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,  Order Gordea,  연가시목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family Gordiidae, 연가시과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gordius aquaticus,연가시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,,,3,4,Unknown,3,4,4,0.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gordius liniatus,가는줄연가시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,,,3,4,Unknown,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Clithon sp.,철사벌레류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,,,3,2,Unknown,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gordius robustus,털연가시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종,,,,,,3,4,Unknown,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,  Order Chordodea,  (국명 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
