소2 연1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.5,5.371317591237897,0,1.6081556756999131,1.6081556756999131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6081556756999131,0,0,0,0,0,0,3.1109260069971185,10.533312257475744,10.715475338225579,0,0,0,0,0,0,10.715475338225579,,,,,0,0,0,0,0,0,0,0,0,0
NO.5+12.81,12.806016658071258,0.01291442816275179,0.082691191090832,0.082691191090832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082691191090832,0,0,0,0,0,0,1.230534186061611,27.798405776331673,28.279151349269252,0,0,0,0,0,0,28.279151349269252,,,,,0,0,0,0,0,0,0,0,0,0
NO.6,7.1939833419287424,0.7413705068311742,2.713156628707054,2.713156628707054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.713156628707054,0,0,0,0,0,0,0.244550936338932,5.305868899238213,5.397628585186381,0,0,0,0,0,0,5.397628585186381,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,1.3530786754062447,7.1070867790312455,7.1070867790312455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1070867790312455,0,0,0,0,0,0,8.38835149872159,69.93777130557041,71.14727498023439,0,0,0,0,0,0,71.14727498023439,7.1070867790312455,7.1070867790312455,64.04018820120314,0,0,0,0,0,0,0,0,0,0,0
NO.7,20,0.9933763611939241,17.347468680250984,17.347468680250984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.347468680250984,0,0,0,0,0,0,0.116491497409271,3.61042433748203,3.672863008628718,0,0,0,0,0,0,3.672863008628718,,,,,0,0,0,0,0,0,0,0,0,0
NO.7+3.18,3.1753571811411803,1.6317057711799947,4.167786700059462,4.167786700059462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167786700059462,0,0,0,0,0,0,0.01572846574721609,0.2099228047495868,0.21355320930781974,0,0,0,0,0,0,0.21355320930781974,,,,,0,0,0,0,0,0,0,0,0,0
NO.8,16.82464281885882,0.24105351424760357,15.754253031510308,15.754253031510308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.754253031510308,0,0,0,0,0,0,0.4506366429563968,3.923213188558277,3.9910612294590817,0,0,0,0,0,0,3.9910612294590817,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,2.8661356466215224,37.26950841182075,37.26950841182075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.26950841182075,0,0,0,0,0,0,0.5828566061128839,7.743560330789894,7.87747744739562,0,0,0,0,0,0,7.87747744739562,7.87747744739562,7.87747744739562,0,29.392030964425132,0,0,0,0,0,0,0,0,0,0
NO.8+7.78,7.781329888296682,0.2043943436482749,1.7330883651614661,1.7330883651614661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7330883651614661,0,0,0,0,0,0,0.023866693901773317,1.846133498595494,1.8780605275640834,0,0,0,0,0,0,1.8780605275640834,,,,,0,0,0,0,0,0,0,0,0,0
NO.9,12.218670111703346,0.0006301559682975189,1.2525633628159738,1.2525633628159738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2525633628159738,0,0,0,0,0,0,0.05611388403252704,0.488628148561298,0.49707848276836014,0,0,0,0,0,0,0.49707848276836014,,,,,0,0,0,0,0,0,0,0,0,0
NO.9+17.29,17.28995136457064,0.026768922992179256,0.23686437133033708,0.23686437133033708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23686437133033708,0,0,0,0,0,0,0.18032808329965988,2.044035057858456,2.079384595990291,0,0,0,0,0,0,2.079384595990291,,,,,0,0,0,0,0,0,0,0,0,0
NO.10,2.7100486354293594,0,0.036272541613434496,0.036272541613434496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036272541613434496,0,0,0,0,0,0,1.4059010583341802,2.1493790603815364,2.186550417478674,0,0,0,0,0,0,2.186550417478674,,,,,0,0,0,0,0,0,0,0,0,0
소계,40.00000000000003,0.2317934226087517,3.2587886409212112,3.2587886409212112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2587886409212112,0,0,0,0,0,0,1.6662097195681405,6.528175765396783,6.6410740238014085,0,0,0,0,0,0,6.6410740238014085,3.2587886409212112,3.2587886409212112,3.3822853828801973,0,0,0,0,0,0,0,0,0,0,0
NO.11,20.00000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7482444747424282,31.54145533076613,32.08693319508254,0,0,0,0,0,0,32.08693319508254,,,,,0,0,0,0,0,0,0,0,0,0
NO.11+12.86,12.862842458392038,0.23617905094237912,1.518966962122185,1.518966962122185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.518966962122185,0,0,0,0,0,0,0.656438010124778,15.465525982650783,15.732986757528773,0,0,0,0,0,0,15.732986757528773,,,,,0,0,0,0,0,0,0,0,0,0
NO.12,7.137157541607962,0.10703148650687666,1.224773837857639,1.224773837857639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.224773837857639,0,0,0,0,0,0,0.9596216174892049,5.767036079456647,5.866771189681228,0,0,0,0,0,0,5.866771189681228,,,,,0,0,0,0,0,0,0,0,0,0
소계,40.00000000000003,0.3432105374492558,2.743740799979824,2.743740799979824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.743740799979824,0,0,0,0,0,0,3.364304102356411,52.77401739287356,53.68669114229254,0,0,0,0,0,0,53.68669114229254,2.743740799979824,2.743740799979824,50.94295034231271,0,0,0,0,0,0,0,0,0,0,0
