쇠뜨기
개속새
가는잎족제비고사리
소나무
곰솔
은사시나무
버드나무
능수버들
선버들
사방오리
물오리나무
밤나무
갈참나무
떡갈나무
신갈나무
졸참나무
팽나무
참느릅나무
산뽕나무
환삼덩굴
감절대
마디풀
여뀌
흰꽃여뀌
명아자여뀌
며느리배꼽
미꾸리낚시
고마리
기생여뀌
애기수영
소리쟁이
참소리쟁이
미국자리공
벼룩나물
쇠별꽃
흰명아주
털쇠무릎
생강나무
사위질빵
좀꿩의다리
댕댕이덩굴
고추나물
황새냉이
콩나닥냉이
돌나물
짚신나물
팥배나무
뱀딸기
벚나무
매실나무
산돌배나무
찔레나무
돌가시나무
산딸기
멍석딸기
오이풀
조팝나무
돌콩
매듭풀
싸리
비수리
참싸리
해변싸리
벌노랑이
자주개자리
칡
아까시나무
고삼
토끼풀
갈퀴나물
각시갈퀴나물
나비나물
좀돌팥
선괭이밥
애기땅빈대
여우구슬
붉나무
개옻나무
신나무
노박덩굴
개머루
담쟁이덩굴
새머루
콩제비꽃
여뀌바늘
두릅나무
처녀바디
미나리
개발나물
진달래
큰까치수염
좁쌀풀
고욤나무
때죽나무
갈퀴덩굴
솔나물
계요등
애기메꽃
메꽃
작살나무
누리장나무
산박하
쉽싸리
들깨풀
밭둑외풀
오동나무
선개불알풀
질경이
분꽃나무
덜꿩나무
인동
잔대
층층잔대
털잔대
수염가래꽃
톱풀
돼지풀
쑥
가새쑥부쟁이
미국쑥부쟁이
비짜루국화
미국가막사리
울산도깨비바늘
가막사리
담배풀
중대가리풀
엉겅퀴
망초
큰망초
주홍서나물
이고들빼기
구절초
한련초
개망초
등골나물
뚱딴지
지칭개
씀바귀
노랑선씀바귀
벌씀바귀
왕고들빼기
가시상추
큰방가지똥
사데풀
만수국아재비
서양민들레
큰도꼬마리
뽀리뱅이
택사
맥문동
청미래덩굴
마
물달개비
노랑꽃창포
골풀
청비녀골풀
사마귀풀
속털개밀
참새귀리
바랭이
돌피
물피
그령
나도개피
큰김의털
김의털아재비
쇠치기풀
띠
나도겨풀
큰듬성이삭새
억새
주름조개풀
미국개기장
참새피
갈풀
달뿌리풀
가을강아지풀
금강아지풀
강아지풀
솔새
잠자리피
줄
잔디
애기부들
부들
털대사초
산비늘사초
산괭이사초
왕비늘사초
괭이사초
참방동사니
물꼬챙이골
바람하늘지기
올챙이고랭이
큰매자기
