공         종,규     격,단위,1. 배 수 공,2. 구조물공,3.포장공,4.부대공,계,할증,계,
,표준레일,EA,,,,#REF!,#REF!,,#REF!,
,단부레일,EA,,,,0,0,,0,
"가 드 레 일
(옹벽용)",레일포스트,EA,,,,,0,,0,
,표준레일,EA,,,,,0,,0,
,단부레일,EA,,,,,0,,0,
가드레일 철거,레일포스트,EA,,,,,0,,0,
,표준레일,EA,,,,,0,,0,
,단부레일,EA,,,,,0,,0,
삼각  표지판,"1,200 X 1,039",EA,,,,#REF!,#REF!,,#REF!,
원형 표지판,D 900,EA,,,,#REF!,#REF!,,#REF!,
삼각+삼각표지판,"1,200 X 1,039",EA,,,,0,0,,0,
원형+보조표지판,D 900 + 900 X 450,EA,,,,0,0,,0,
안내 표지판 이설,"4,000 x 2,500",EA,,,,#REF!,#REF!,,#REF!,
낙석방지책,표준부,EA,,,,#REF!,#REF!,,#REF!,
,단부,EA,,,,#REF!,#REF!,,#REF!,
표지판 폐기,,EA,,,,,0,,0,
가설사무실,현장사무소,㎡,,,,#REF!,#REF!,,#REF!,
,기자재창고,㎡,,,,0,0,,0,
,숙      소,㎡,,,,#REF!,#REF!,,#REF!,
법면녹화,담덩쿨쟁이,m,,,0,#REF!,#REF!,,#REF!,
터파기,,개소,,,,0,0,,0,
