filename,longitude,latitude,timestamp
P1000623,129.31547222222224,35.45527777777778,2026-02-13 09:47:32
P1000651,129.319725,35.46583888888889,2026-02-13 10:56:16
개 (2),129.3213361111111,35.45062222222222,2026-02-13 13:20:43
개,129.31181944444447,35.44875,2026-02-12 16:18:09
고라니 (2),129.31479444444446,35.45634444444445,2026-02-13 09:56:14
고라니 (3),129.31478611111112,35.45634444444445,2026-02-13 09:56:20
고라니 (4),129.3162861111111,35.46118333333334,2026-02-13 11:24:29
고라니 (5),129.31640555555558,35.46135277777778,2026-02-13 11:25:43
고라니 (6),129.32099166666666,35.458286111111114,2026-02-13 12:08:03
고라니 (7),129.32096666666666,35.458308333333335,2026-02-13 12:17:09
고라니,129.31234444444445,35.44974166666666,2026-02-12 16:26:38
고양이,129.32125277777777,35.45066944444445,2026-02-13 13:02:31
두더지 (2),129.31666666666666,35.454875,2026-02-13 09:36:07
두더지 (3),129.31602777777778,35.4553,2026-02-13 09:41:39
두더지 (4),129.32174166666667,35.459919444444445,2026-02-13 12:03:44
두더지 (5),129.32154722222222,35.4596,2026-02-13 12:04:53
멧돼지 (10),129.32190555555556,35.46005277777778,2026-02-13 11:58:41
멧돼지 (11),129.31976388888887,35.450358333333334,2026-02-13 13:10:30
멧돼지 (2),129.31216666666668,35.44890833333333,2026-02-12 16:21:44
멧돼지 (3),129.31494444444445,35.456163888888895,2026-02-13 09:52:45
멧돼지 (4),129.31423333333333,35.456719444444445,2026-02-13 10:02:10
멧돼지 (5),129.31410277777778,35.456811111111115,2026-02-13 10:03:10
멧돼지 (6),129.31351111111113,35.457008333333334,2026-02-13 10:04:45
멧돼지 (7),129.31343611111112,35.457036111111115,2026-02-13 10:05:30
멧돼지 (8),129.31498055555556,35.45855277777778,2026-02-13 10:14:42
멧돼지 (9),129.316875,35.45711666666667,2026-02-13 10:27:04
멧돼지 배설물,129.31350833333335,35.45700277777778,2026-02-13 10:04:59
멧돼지 비빔목,129.31550000000001,35.455275,2026-02-13 09:46:35
멧돼지,127.00963805555556,37.949315,2026-02-11 14:04:14
산불감시소,129.3217361111111,35.458086111111115,2026-02-13 12:10:20
삵 (2),129.31972777777779,35.46584166666667,2026-02-13 10:56:00
삵 (3),129.31939444444444,35.46597777777778,2026-02-13 10:57:35
삵 (4),129.32785833333332,35.462294444444446,2026-02-13 11:45:35
삵 위치,129.31489444444446,35.458508333333334,2026-02-13 10:12:32
삵 위치정보,129.32785833333332,35.462294444444446,2026-02-13 11:45:53
삵,129.3148888888889,35.45851944444445,2026-02-13 10:11:21
새 (2),129.3147277777778,35.45630277777778,2026-02-13 09:55:02
새 (3),129.3147277777778,35.45630277777778,2026-02-13 09:55:08
새 (4),129.3147416666667,35.456297222222226,2026-02-13 09:55:25
새,129.3123138888889,35.44971388888889,2026-02-12 16:25:19
전경 (2),129.31220000000002,35.44892222222222,2026-02-12 16:22:06
전경,129.31446666666668,35.44999444444444,2026-02-12 16:40:12
흰빰,129.31974444444444,35.465825,2026-02-13 10:55:22
