소3 연7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.061155131941568186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08259146319713295,0,0,0,0,0,0,0,0,0,,,,,0.2058459700880248,0,0.2888242658166034,0,0,0,0,0,0,0
NO.0+2.78,2.7843312947524472,0.01371033690716672,0.10422513390592353,0.10422513390592353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10422513390592353,0,0,0,0,0,0,0.5294418307958324,0.8520517269475192,0.8667871077797754,0,0,0,0,0,0,0.8667871077797754,,,,,0.7011507275471172,1.2626896447313245,0,0.40209122099853417,0,0,0,0,0,0
NO.0+14.68,11.89459053465988,0.006349335949551005,0.11930079744494418,0.11930079744494418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11930079744494418,0,0,0,0,0,0,0.6330601995488081,6.913742823330127,7.03330907765018,0,0,0,0,0,0,7.03330907765018,,,,,0.3695638192882399,6.367855557055241,0,0,0,0,0,0,0,0
NO.1,5.321078170587672,0.19217892585281504,0.5281922000606422,0.5281922000606422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5281922000606422,0,0,0,0,0,0,0.2038583025956049,2.2266543861607837,2.265162142584724,0,0,0,0,0,0,2.265162142584724,,,,,0.21458244270855434,1.5541439615707644,0.1027582945557681,0.2733924590037578,0,0,0,0,0,0
NO.1+13.09,13.091000000000001,0.0034458305238302955,1.280461842863332,1.280461842863332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.280461842863332,0,0,0,0,0,0,0.20909689773684192,2.702998263776031,2.749743910250286,0,0,0,0,0,0,2.749743910250286,,,,,0.227543456553512,2.8939350736198555,0,0.6726044170147801,0,0,0,0,0,0
소계,33.091,0.27683956117493125,2.032179974274842,2.032179974274842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.032179974274842,0,0,0,0,0,0,1.6580486938742203,12.695447200214462,12.915002238264966,0,0,0,0,0,0,12.915002238264966,2.032179974274842,2.032179974274842,10.882822263990125,0,1.718686416185448,12.078624236977186,0.3915825603723715,1.348088097017072,0,0,0,0,0,0
총계,33.091,0.27683956117493125,2.032179974274842,2.032179974274842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.032179974274842,0,0,0,0,0,0,1.6580486938742203,12.695447200214462,12.915002238264966,0,0,0,0,0,0,12.915002238264966,2.032179974274842,2.032179974274842,10.882822263990125,0,1.718686416185448,12.078624236977186,0.3915825603723715,1.348088097017072,0,0,0,0,0,0
