 <제10호표> 단가 조사서,,,,예정가,낙찰가,낙찰률,
<기술자 적용 노임단가>,,,,1218302700,1025287000,0.8415699973413833,0.84156
,,,,,,,
구    분,,환경,,발주단가,,,
특급 기술자,,224394,원,266641,,,
고급 기술자,,197119,원,234230,,,
중급 기술자,,165070,원,196148,,,
초급 기술자,,135798,원,161365,,,
,,,,,,,
주) 1. 적용일,: 2018년 01월 01부터,,,,,,
     2. 근거,": 한국엔지니어링협회 공표(정책연구실-313호, '17.12.08) ",,,,,,
,  (http://www.kenca.or.kr),,,,,,
,,,,,,,
<측정대행업의 측정수수료>,,,,,,,
,,,,,,,
분  야,측  정  항  목,단 위,수수료(원),발주단가,,,
,플리클로리네이티드비페닐(PCBs),"""",168480,200200,,,
,다이아지논,"""",77508,92100,,,
,파라티온,"""",77424,92000,,,
,말라티온,"""",77087,91600,,,
,1.1.1-트리클로로에탄,"""",77339,91900,,,
,테트라클로로에틸렌,"""",77339,91900,,,
,트리클로로에틸렌,"""",55543,66000,,,
,디클로로메탄,"""",55543,66000,,,
,벤젠(C6H6),"""",55543,66000,,,
,페놀,"""",44855,53300,,,
,음이온계면활성제(ABS),"""",76077,90400,,,
라. 해저퇴적물,입도,건당,82389,97900,,,
,함수율,"""",10435,12400,,,
,감열감량,"""",14054,16700,,,
,총황,"""",15401,18300,,,
,산휘발성황화물(AVS),"""",13549,16100,,,
,화학적산소요구량(COD),"""",23900,28400,,,
,유기탄소량,"""",38880,46200,,,
,구리(Cu),"""",42667,50700,,,
,납(Pb),"""",42667,50700,,,
,니켈(Ni),"""",42667,50700,,,
,망간(Mn),"""",42667,50700,,,
,아연(Zn),"""",42667,50700,,,
,알루미늄(Al),"""",42667,50700,,,
,철(Fe),"""",42667,50700,,,
,카드뮴(Cd),"""",42667,50700,,,
,코발트(Co),"""",42667,50700,,,
,크롬(Cr),"""",42667,50700,,,
,비소(AS),"""",42078,50000,,,
,수은(Hg),"""",48558,57700,,,
,다환방향족탄화수소(PAHs),"""",232102,275800,,,
,폴리클로네이티드비페닐(PCBs),"""",198019,235300,,,
,유기주석화합물(TBT),"""",215187,255700,,,
,유기염소계 농약,"""",118660,141000,,,
마. 소음․진동,소음(배출허용기준),건당,118912,141300,,,
,진동(배출허용기준),"""",118828,141200,,,
,소음(환경기준),"""",228147,271100,,,
,진동(환경기준),"""",228063,271000,,,
,철도소음,"""",235132,279400,,,
,철도진동,"""",253730,301500,,,
,항공기소음(7일 연속측정),"""",6386094,7588400,,,
바. 실내공기질,미세먼지,지점당,51588,61300,,,
,이산화탄소,"""",32063,38100,,,
,포름알데히드(신축공동주택),"""",125308,148900,,,
,포름알데히드(다증이용시설/주시험법),"""",111002,131900,,,
,총부유세균,"""",69849,83000,,,
,일산화탄소,"""",33578,39900,,,
분  야,측  정  항  목,단 위,수수료(원),수수료(원),,,
바. 실내공기질,이산화질소,"""",33662,40000,,,
,휘발성유기화합물(신축공동주택),"""",146936,174600,,,
,휘발성유기화합물(다중이용시설),"""",137595,163500,,,
,석면,"""",75067,89200,,,
,오존,"""",35261,41900,,,
,라돈(단기측정),"""",53018,63000,,,
,라돈(장기측정),"""",129853,154300,,,
사. 악취,복합악취,건당,113779,135200,,,
,암모니아,"""",48895,58100,,,
,"메틸메르캅탄,황화수소,다이메틸설파이드,다이메틸다이설파이드",항목당,97284,115600,,,
,트리메틸아민,건당,80369,95500,,,
,"아세트알데하이드, 프로피온알데하이드",“,78433,93200,,,
,"뷰틸알데하이드,n-발레르알데하이드,i-발레르알데하이드",항목당,78433,93200,,,
,스타이렌,건당,70439,83700,,,
,"톨루엔,자일렌",항목당,76414,90800,,,
,"메틸에틸케톤,메틸아이소뷰틸케톤,뷰틸아세테이트",“,72038,85600,,,
,"프로피온산,n-발레르산,n-뷰틸산,i-발레르산",“,71364,84800,,,
,i-뷰틸알코올,건당,72627,86300,,,
비고 1. 부가가치세는 별도로 한다.,,,,,,,
  2. 기타 규정되지 아니한 항목의 경우에는 유사항목 또는 시험방법이 유사한 항목의 수수료를 적용한다.,,,,,,,
자료 : (사)한국환경측정대행업협회 홈페이지(http://www.kaet.or.kr/)(환측협 수수료 공표 제2015-1호),,,,,,,
,,,,,,,
<토양오염검사 수수료>,,,,,,,
,,,,,,,
검사항목,,검사수수료(단위: 원),비고,발주단가,,,
카드뮴ㆍ구리ㆍ납,,37197,항목당,44200,,,
비소,,37197,,44200,,,
수은,,37197,,44200,,,
6가크롬,,37197,,44200,,,
아연ㆍ니켈,,37197,항목당,44200,,,
불소,,59835,,71100,,,
유기인,,29539,,35100,,,
폴리클로리네이티드비페닐,,95938,,114000,,,
시안,,14896,,17700,,,
페놀류,,47212,,56100,,,
유류,벤젠,34167,"4개의 검사항목 전부를 검사받지 아니하고, 검사항목 각각에 대하여 별도로 검사를 받는 경우에는 개별 검사항목당 26,900원",40600,,,
,톨루엔,,,,,,
,에틸벤젠,,,,,,
,크실렌,,,,,,
,석유계총탄화수소(TPH),52766,,62700,,,
"트리클로로에틸렌(TCE), 테트라클로로에틸렌(PCE)",,22638,항목당,26900,,,
벤조(a)피렌,,95938,,114000,,,
공당 시료채취비,,77339,,91900,,,
비고: 1.도서지역(낙도)의 경우 「공무원여비규정」에 준하는 출장비를 추가할 수 있다.,,,,,,,
        2.토양오염검사수수료 (토양환경보전법 제31조제2항 관련 [별표11]),,,,,,,
자료: 토양환경보전법 시행규칙 [별표 11] 토양오염검사수수료 1. 토양오염도검사수수료,,,,,,,
