photo,filename,longitude,latitude,timestamp
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\고라니1.jpg,고라니1,128.82967777777776,35.76761944444444,2025-11-17 10:52:53
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\고라니2.jpg,고라니2,128.82595555555554,35.766075,2025-11-17 11:10:31
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\두더지1.jpg,두더지1,128.82991388888888,35.76838055555555,2025-11-17 10:49:30
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\두더지2.jpg,두더지2,128.8289638888889,35.767091666666666,2025-11-17 10:58:25
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\땃쥐.jpg,땃쥐,128.83065277777777,35.771836111111114,2025-11-17 14:18:56
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\멧돼지1.jpg,멧돼지1,128.82593333333332,35.76605833333333,2025-11-17 11:10:45
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\멧돼지2.jpg,멧돼지2,128.82171666666667,35.76582777777778,2025-11-17 11:38:32
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\멧돼지3.jpg,멧돼지3,128.81988055555556,35.765769444444445,2025-11-17 11:59:21
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\삵!.jpg,삵!,128.82473055555556,35.766,2025-11-17 11:21:16
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\삵2.jpg,삵2,128.82044055555556,35.766955555555555,2025-11-17 13:00:01
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\새1.jpg,새1,128.8199111111111,35.76645,2025-11-17 12:03:55
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\새2.jpg,새2,128.81991666666667,35.76645,2025-11-17 12:04:07
D:\01. 사진\2025\2025-11-17\25년 11월 17일 경북 경산_포유류\전경1.jpg,전경1,128.8310361111111,35.770336111111114,2025-11-17 10:41:12
