,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이전,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,,원단위(일),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,종량제,음식물,재활용,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2017,22653,3486,,,,,,,,,,,,,,,,,,,,,,,,
산업시설용지,C24,1차 금속 제조업,13,4662,104,,,,,,,,,,,,,,,,,,,,,,,,
,C26,"전자 부품, 통신장비",90,557,981,,,,,,,,,,,,,,,,,,,,,,,,
,C28,전기장비,270,47,185,,,,,,,,,,,,,,,,,,,,,,,,
,C29,기타기계 및 장비,1332,14897,999,,,,,,,,,,,,,,,,,,,,,,,,
,C31,기타 운송장비,262,1759,497,,,,,,,,,,,,,,,,,,,,,,,,
,M70,연구개발업,20,16,620,,,,,,,,,,,,,,,,,,,,,,,,
복합용지,,,30,715,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,계,생활폐기물,사업장배출시설폐기물,,지정폐기물,,,전국 폐기물 폐기량 통계,,,"사업지 
폐기물",폐기물계산,,,,,,,,,,,,,,,,,
,,,가연성,불연성,,,,폐기물발생량,재활용량,%,,,,,,,,,,,,,,,,,,,
발생량(톤),32.7,4.5,2,22.7,3.5,,,13354345,12864993,0.9633563458185332,28.2,27.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연간폐기물 발생량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1공구총,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2공구(add),123,add자료 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,
계,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
