□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
강원특별자치도,강원-정선-21,1,노목,당산목,기타,박달나무,Betula schmidtii,정선군,여량면 여량리 80,학,"경사지
(농지 내)",1982.11.13,320,355,2000,66.84507608986789,210,,,,,,
강원특별자치도,강원-정선-22,1,노목,당산목,기타,느릅나무,Ulmus davidiana var. japonica,정선군,정선읍 봉양리153-1,학,"평탄지
(초등학교 내)",1982.11.13,290,325,2700,54.112680644178766,170,,,,,,
강원특별자치도,강원-정선-23,1,노목,풍치목,기타,느릅나무,Ulmus davidiana var. japonica,정선군,정선읍 봉양리 919-6,천,"평탄지
(학교 운동장 내)",1982.11.13,200,235,2000,63.66197722844561,200,,,,,,
강원특별자치도,강원-정선-24,1,노목,풍치목,소나무,소나무,Pinus densiflora,정선군,정선읍 신월리 1096-40,천,"평탄지
(도로변)",1982.11.13,250,285,2000,63.66197722844561,200,,,,,,
강원특별자치도,강원-정선-25,1,노목,당산목,기타,음나무,Kalopanax septemlobus,정선군,사북읍 직전리 산272,임,"경사지
(나지)",1982.11.13,200,235,1400,47.746482921334206,150,,,,,,
강원특별자치도,강원-정선-26,1,노목,정자목,느티나무,느티나무,Zelkova serrata,정선군,신동읍 고성리 692-9,전,"경사지
(마을 진입로변)",1982.11.13,200,235,2500,136.87325104115806,430,,,,,,
강원특별자치도,강원-정선-26,1,노목,정자목,소나무,소나무,Pinus densiflora,정선군,남면 무릉리 464,잡,"평탄지
(마을 공터)",1982.11.13,250,285,1500,54.112680644178766,170,,,,,,
강원특별자치도,강원-정선-26,1,노목,정자목,기타,느릅나무,Ulmus davidiana var. japonica,정선군,남면 광덕리 495,임,"평탄지
(도로변)",1982.11.13,200,235,2000,89.12676811982385,280,,,,,,
강원특별자치도,강원-정선-26,1,노목,정자목,기타,느릅나무,Ulmus davidiana var. japonica ,정선군,북평면 문곡리 167-1,전,"평탄지
(나지)",1982.11.13,250,285,2500,143.23944876400262,450,,,,,,
강원특별자치도,강원-정선-31,1,노목,당산목,기타,떡갈나무,Quercus dentata,정선군,여량면 유천리 산251-3,도,"경사지
(나지)",1982.11.13,250,285,3100,98.67606470409069,310,,,,,,
강원특별자치도,강원-정선-31,1,노목,당산목,기타,상수리나무,Quercus acutissima,정선군,여량면 유천리 산251-1,임,"경사지
(도로변 나지)",1982.11.13,250,285,1500,19.098593168533682,60,,,,,,
강원특별자치도,강원-정선-32,1,희귀목,기형목,기타,밤나무,Castanea crenata,정선군,정선읍 애산리 660-4전,전,"경사지
(도로변 나지)",1982.11.13,120,155,1700,47.746482921334206,150,,,,,,
강원특별자치도,강원-정선-34,1,노목,당산목,소나무,소나무,Pinus densiflora,정선군,남면 무릉리 산305,임,"경사지
(농경지 주변 나지)",1982.11.13,130,165,2600,38.197186337067365,120,,,,,,
강원특별자치도,강원-정선-36,1,노목,당산목,소나무,소나무,Pinus densiflora,정선군,여량면 유천리 388-2,도,"산비탈
(임내)",1982.11.13,150,185,1500,63.66197722844561,200,,,,,,
강원특별자치도,강원-정선-37,1,노목,당산목,소나무,소나무,Pinus densiflora,정선군,여량면 고양리 455,임,"평탄지
(도로변)",1982.11.13,180,215,1700,76.39437267413473,240,,,,,,
강원특별자치도,강원-정선-38,1,노목,당산목,소나무,소나무,Pinus densiflora,정선군,임계면 봉산리 329-2,임,"산비탈
(마을 진입로변)",1982.11.13,250,285,1800,92.30986698124613,290,,,,,,
강원특별자치도,강원-정선-39,1,노목,당산목,소나무,소나무,Pinus densiflora,정선군,임계면 낙천리 산173,임,"경사지
(임내)",1982.11.13,150,185,1300,38.197186337067365,120,,,,,,
강원특별자치도,강원-정선-40,1,노목,당산목,소나무,소나무,Pinus densiflora,정선군,정선읍 가수리 산366-2,천,"경사지
(임내)",2022.12.30,300,300,1500,91,300,,,,,,
강원특별자치도,강원-철원-1,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,철원군,동송읍 관우리 산74,임,평탄지,1982.11.13,550,592,2200,48,300,,,,,,
강원특별자치도,강원-철원-2,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,철원군,갈말읍 내대리 217-1,전,평탄지,1982.11.13,330,372,1900,56,350,,,,,,
강원특별자치도,강원-철원-3,1,노거목,정자목,소나무,소나무,Pinus densiflora Siebold & Zucc,철원군,근남면 육단3리 산157,임,평탄지,1982.11.13,330,372,1700,50,320,,,,,,
강원특별자치도,강원-철원-4,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,철원군,갈말읍 내대리 217-1,전,평탄지,1982.11.13,200,242,2000,66,420,,,,,,
강원특별자치도,강원-철원-5,1,노거목,정자목,소나무,소나무,Pinus densiflora Siebold & Zucc,철원군,서면 자등리 920-3,전,평탄지,2019.07.25,300,305,1600,66,286,,,,,,
강원특별자치도,강원-화천-01,1,노거목,당산목,기타,물푸레나무,Fraxinus rhynchophylla,화천군,화천읍 신읍리 210,답,평탄지,1982. 11. 13.,300,336,2000,86,272,,,,,,
강원특별자치도,강원-화천-03,1,노거목,당산목,느티나무,느티나무,Zelkova serrata ,화천군,화천읍 동촌리 434-1,학,평탄지,2005. 09. 16.,400,413,1500,126,398,,,,,,
강원특별자치도,강원-화천-04,1,노거목,풍치목,소나무,소나무,Pinus densiflora,화천군,화천읍 동촌리 1214-3,천,평탄지,2005. 09. 16.,150,163,1500,42,133,,,,,,
강원특별자치도,강원-화천-05,1,노거목,풍치목,소나무,소나무,Pinus densiflora,화천군,사내면 광덕리 273-13,임,경사지,2017. 02. 17.,400,401,1500,47,150,,,,,,
강원특별자치도,강원-양구-2,1,노거목,풍치목,기타,신갈나무,Quercus mongolica Fisch. ex Ledeb. ,양구군,양구읍 하리 산30-3,임,평탄지,2011.11.18,150,157,1400,98,310,,,,,,
강원특별자치도,강원-양구-2,1,노거목,풍치목,기타,갈참나무,Quercus aliena Blume ,양구군,양구읍 하리 산30-3,임,평탄지,2011.11.18,200,207,1800,106,332,,,,,,
강원특별자치도,강원-양구-3,1,노거목,풍치목,기타,말채나무,Cornus walteri ,양구군,양구읍 하리 196-1,전,평탄지,2011.11.18,100,107,1300,90,280,,,,,,
강원특별자치도,강원-양구-4,1,노거목,정자목,느티나무,느티나무,Zelkova serrata ,양구군,양구읍 월명리 산101,임,평탄지,2011.11.18,150,157,1900,134,420,,,,,,
강원특별자치도,강원-양구-5,1,노거목,풍치목,기타,느릅나무,Ulmus davidiana var. japonica ,양구군,양구읍 중리 3,대,경사지,2016.01.26,300,302,1600,68,210,,,,,,
강원특별자치도,강원-인제-1,1,노목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,인제군,인제읍 합강리287-1,대,평탄지,1982.11.13,504,539,2200,100,400,,,,,,
강원특별자치도,강원-인제-2,1,노목,풍치목,은행나무,은행나무,Ginkgo biloba,인제군,상남면 하남리620,논,평탄지,1982.11.13,504,539,2000,200,500,,,,,,
강원특별자치도,강원-인제-3,1,노목,풍치목,소나무,소나무,Pinus densiflora,인제군,남면 갑둔1리430,임,평탄지,1982.11.13,504,539,1300,115,360,,,,,,
강원특별자치도,강원-인제-4,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,북면 한계리147,임,계류역,1982.11.13,304,339,1800,86,270,,,,,,
강원특별자치도,강원-인제-5,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,북면 한계리418-1,전,평탄지,1982.11.13,304,339,2000,102,320,,,,,,
강원특별자치도,강원-인제-6,1,노목,풍치목,소나무,소나무,Pinus densiflora,인제군,서화면천도리76-1,임,평탄지,1982.11.13,304,339,1500,89,280,,,,,,
강원특별자치도,강원-인제-8,1,노목,당산목,기타,잣나무,pinus koraiensis,인제군,기린면 서리265,전,평탄지,1982.11.13,204,239,2400,96,300,,,,,,
강원특별자치도,강원-인제-9,1,노목,풍치목,기타,밤나무,castanea crenata,인제군,인제읍 원대리276,논,평탄지,1982.11.13,184,219,1900,89,280,,,,,,
강원특별자치도,강원-인제-10,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,북면 한계리786,임,평탄지,2002.09.07,404,419,1800,89,280,,,,,,
강원특별자치도,강원-인제-10,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,북면 한계리786,임,평탄지,2002.09.07,404,419,1800,89,280,,,,,,
강원특별자치도,강원-인제-10,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,북면 한계리786,임,평탄지,2002.09.07,404,419,1800,89,280,,,,,,
강원특별자치도,강원-인제-11,1,노목,당산목,기타,까치박달,Carpinus cordata,인제군,남면 수산리46-8,임,평탄지,2003.11.15,405,419,1500,180,565,,,,,,
강원특별자치도,강원-인제-12,1,노목,풍치목,소나무,소나무,Pinus densiflora,인제군,기린면 북리 857-1,임,평탄지,2003.11.15,405,419,2000,130,408,,,,,,
강원특별자치도,강원-인제-13,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,상남면 하남리157-1,임,평탄지,2003.11.13,404,418,1000,100,314,,,,,,
강원특별자치도,강원-인제-14,1,노목,정자목,소나무,소나무,Pinus densiflora,인제군,인제읍 덕산리505,천,평탄지,2006.07.14,307,318,1200,111,350,,,,,,
강원특별자치도,강원-인제-15,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,인제읍 고사리29,임,평탄지,2006.07.14,307,318,1800,108,340,,,,,,
강원특별자치도,강원-인제-16,1,노목,정자목,소나무,소나무,Pinus densiflora,인제군,남면 갑둔리51-2,천,평탄지,2006.07.14,304,315,900,67,210,,,,,,
강원특별자치도,강원-인제-17,1,노목,정자목,기타,돌배나무,Pyrus pyrifolia,인제군,북면 한계2리925-1,대,평탄지,2006.07.14,404,415,1500,111,350,,,,,,
강원특별자치도,강원-인제-18,1,노목,당산목,소나무,소나무,Pinus densiflora,인제군,북면 원통리132-1,구,평탄지,2006.07.14,254,265,1200,64,200,,,,,,
강원특별자치도,강원-인제-19,1,노목,풍치목,소나무,소나무,Pinus densiflora,인제군,북면 한계리 473-26,종교,평탄지,2013.11.08,361,365,1500,51,160,,,,,,
강원특별자치도,강원-인제-20,1,노목,풍치목,기타,밤나무,castanea crenata,인제군,인제읍 하추리390,전,평탄지,2013.11.08,261,265,2200,191,600,,,,,,
강원특별자치도,강원-인제-21,1,노목,정자목,소나무,소나무,Pinus densiflora,인제군,북면 용대리 40-1,구,평탄지,2013.11.08,404,408,2500,96,300,,,,,,
강원특별자치도,강원-인제-22,1,노목,풍치목,소나무,소나무,Pinus densiflora,인제군,서화면 서흥리 514,묘,평탄지,2023.09.26.,200,200,20,118,600,,,,,,
강원특별자치도,강원-인제-23,1,노목,노거수,기타,느릅나무,Ulmus davidiana var. japonica,인제군,남면 정자리 461-9,도,평탄지,2023.09.26.,150,150,20,150,300,,,,,,
강원특별자치도,강원-고성-1,1,노거목,당산목,은행나무,은행나무,Ginkgo biloba L.,고성군,고성중앙길 9 ,대,평탄지,1982.11.13,700,736,2500,223,780,,,,,,
강원특별자치도,강원-고성-3,1,노거목,당산목,은행나무,은행나무,Ginkgo biloba L.,고성군,간성읍 봉호리 240,대,평탄지,1982.11.13,400,436,2000,165,550,,,,,,
강원특별자치도,강원-고성-4,1,노거목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc.,고성군,거진읍 송포리 산37,임,경사지,1982.11.13,400,436,2400,81,250,,,,,,
강원특별자치도,강원-고성-6,1,노거목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc.,고성군,현내면 죽정리 산75,임,평탄지,1982.11.13,250,286,1900,62,180,,,,,,
강원특별자치도,강원-고성-7,1,노거목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc.,고성군,죽왕면 구성리 산35-1,임,경사지,2002.09.07,420,436,1900,90,290,,,,,,
강원특별자치도,강원-고성-7,1,노거목,당산목,기타,음나무,Kalopanax septemlobus(Thunb.) Koidz,고성군,죽왕면 구성리 산35-1,임,경사지,2002.09.07,350,366,1700,77,240,,,,,,
강원특별자치도,강원-고성-7,1,노거목,당산목,기타,상수리나무,Quercus acutissima Carruth.,고성군,죽왕면 구성리 산35-1,임,경사지,2002.09.07,350,366,2100,89,290,,,,,,
강원특별자치도,강원-고성-7,1,노거목,당산목,기타,상수리나무,Quercus acutissima Carruth.,고성군,죽왕면 구성리 산35-1,임,경사지,2002.09.07,350,366,2100,87,270,,,,,,
강원특별자치도,강원-고성-8,1,노거목,풍치목,기타,상수리나무,Quercus acutissima Carruth.,고성군,간성읍 하리 12,대,경사지,2002.09.07,300,316,2200,89,280,,,,,,
강원특별자치도,강원-고성-8,1,노거목,풍치목,기타,상수리나무,Quercus acutissima Carruth.,고성군,간성읍 하리 12,대,경사지,2002.09.07,300,316,2200,88,270,,,,,,
강원특별자치도,강원-고성-9,1,노거목,풍치목,소나무,금강소나무,Pinus densiflora f. drecta Uyeki,고성군,거진읍 용하리 162,잡,평탄지,2008.12.12,600,610,2000,79,240,,,,,,
강원특별자치도,강원-고성-10,1,노거목,풍치목,팽나무,팽나무,Celtis sinensis Pers.,고성군,거진읍 냉천리 35,잡,평탄지,2008.12.12,350,360,1500,72,220,,,,,,
강원특별자치도,강원-양양-2,1,노목,풍치목,은행나무,은행나무,Ginkgo biloba L.,양양군,서면 상평리 330,전,산기슭,1982.11.13,380,416,3500,223,700,,,,,,
강원특별자치도,강원-양양-3,1,노목,당산목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,양양군,서면 북평리 183-1,임,평탄지,1982.11.13,380,386,1800,159,500,,,,,,
강원특별자치도,강원-양양-4,1,노목,풍치목,기타,굴참나무,Quercus variabilis Blume,양양군,강현면 중복리 전220,전,평탄지,1982.11.13,380,386,1500,102,320,,,,,,
강원특별자치도,강원-양양-7,1,노목,풍치목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino,양양군,양양읍 군청길 1,임,산비탈,1982.11.13,380,236,1500,166,520,,,,,,
강원특별자치도,강원-양양-9,1,노목,풍치목,기타,갈참나무,Quercus aliena Blume,양양군,서면 오색리 385-1,임,산기슭,1982.11.13,380,286,1500,124,390,,,,,,
강원특별자치도,강원-양양-10,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,현북면 하광정리 산152,임,암,1982.11.13,380,236,900,48,150,,,,,,
강원특별자치도,강원-양양-11,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,강현면 사교리 194,임,평탄지,1982.11.13,380,286,2000,80,250,,,,,,
강원특별자치도,강원-양양-13,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,양양읍 조산리 353-1,임,평탄지,1982.11.13,380,156,1500,67,210,,,,,,
강원특별자치도,강원-양양-14,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,손양면 금강리 110-2,전,평탄지,1982.11.13,380,186,1500,64,200,,,,,,
강원특별자치도,강원-양양-15,1,거목,당산목,기타,갈참나무,Quercus aliena Blume,양양군,현남면 인구리 595,답,평탄지,1982.11.13,380,186,2000,48,150,,,,,,
강원특별자치도,강원-양양-18,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,현북면 상광정리 산54,임,산기슭,2006.02.03,401,412,1800,80,250,,,,,,
강원특별자치도,강원-양양-18,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,현북면 상광정리 산54,임,산기슭,2006.02.03,401,412,1800,80,250,,,,,,
강원특별자치도,강원-양양-18,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,현북면 상광정리 산54,임,산기슭,2006.02.03,401,412,1800,80,250,,,,,,
강원특별자치도,강원-양양-18,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,현북면 상광정리 산54,임,산기슭,2006.02.03,401,412,1800,80,250,,,,,,
강원특별자치도,강원-양양-18,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,현북면 상광정리 산54,임,산기슭,2006.02.03,401,412,1800,80,250,,,,,,
강원특별자치도,강원-양양-18,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,현북면 상광정리 산54,임,산기슭,2006.02.03,401,412,1800,80,250,,,,,,
강원특별자치도,강원-양양-19,1,노목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,서면 용소리 55임,임,평탄지,2009.05.22,#REF!,509,1500,100,350,,,,,,
강원특별자치도,강원-양양-19,1,노목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,서면 용소리 55임,임,평탄지,2009.05.22,#REF!,509,1500,80,212,,,,,,
강원특별자치도,강원-양양-19,1,노목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,서면 용소리 55임,임,평탄지,2009.05.22,#REF!,509,1500,80,220,,,,,,
강원특별자치도,강원-양양-19,1,노목,당산목,기타,상수리나무, Quercus acutissima Carruth,양양군,서면 용소리 55임,임,평탄지,2009.05.22,#REF!,109,1300,60,307,,,,,,
강원특별자치도,강원-양양-20,1,노목,풍치목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,서면 갈천리 산29-3,임,산비탈,2009.05.22,#REF!,359,1500,108,340,,,,,,
강원특별자치도,강원-양양-21,1,노목,당산목,기타,음나무,Kalopanax septemlobus (Thunb.) Koidz,양양군,강현면 회룡리 53임,임,평탄지,2010.08.20,#REF!,358,1600,127,400,,,,,,
강원특별자치도,강원-양양-22,1,노목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,손양면 상운리 263임,임,평탄지,2011.11.18,#REF!,257,1800,134,420,,,,,,
강원특별자치도,강원-양양-22,1,노목,당산목,소나무,소나무,Pinus densiflora Siebold & Zucc,양양군,손양면 상운리 263임,임,평탄지,2011.11.18,#REF!,257,1800,134,420,,,,,,
강원특별자치도,강원-양양-23,1,거목,풍치목,기타,왕벚나무,Prunus yedoensis Matsum,양양군,"양양읍 임천리 296,297",대,평탄지,2015.01.05,#REF!,113,900,27,82,,,,,,
강원특별자치도,강원-양양-23,1,거목,풍치목,기타,왕벚나무,Prunus yedoensis Matsum,양양군,"양양읍 임천리 296,297",대,평탄지,2015.01.05,#REF!,113,1100,31,96,,,,,,
충청북도,청주제1호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO  ,청주시,서원구 수곡동 350,대지,평탄지,1982.11.11,420,459,1300,131,650,,,,,,
충청북도,청주제3호,1,거목,풍치목,소나무,반송,Pinus densiflora,청주시,흥덕구 봉명동 1677,공원,평탄지,1991.02.10,370,400,800,271,220,,,,,,
충청북도,청주제4호,1,거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,청주시,상당구 산성동 296-1,대지,평탄지,1986.07.10,520,555,1800,156,850,,,,,,
충청북도,청주제5호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,흥덕구 현암동 산 26,임야,평탄지,1989.11.03,420,452,2000,127,490,,,,,,
충청북도,청주제6호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO  ,청주시,흥덕구 현암동 산 26,임야,평탄지,1989.11.03,420,452,2200,175,400,,,,,,
충청북도,청주제7호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 월오동 601,도로,평탄지,1987.06.01,400,434,2300,159,550,,,,,,
충청북도,청주제9호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,흥덕구 동막동 217,대지,평탄지,1982.11.11,200,239,3000,169,500,,,,,,
충청북도,청주제10호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,흥덕구 송절동 294,대지,평탄지,1984.06.20,200,237,2000,105,530,,,,,,
충청북도,청주제11호,1,거목,풍치목,팽나무,팽나무,Celtis sinensis Pers.,청주시,흥덕구 강서동 151-2,전,평탄지,1982.11.11,220,259,2000,127,330,,,,,,
충청북도,청주제12호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,흥덕구 현암동 273,도로,평탄지,1982.11.11,220,259,1700,111,400,,,,,,
충청북도,청주제13호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,서원구 수곡동 213-7,도로,평탄지,1999.06.11,560,582,1200,159,350,,,,,,
충청북도,청주제14호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,흥덕구 외북동 157,대지,평탄지,2005.10.06,300,316,2220,124,500,,,,,,
충청북도,청주제15호,1,거목,풍치목,버드나무,버드나무,Salix koreensis Andersson  ,청주시,흥덕구 서촌동 655-24,구거,평탄지,2005.12.07,350,366,2220,111,390,,,,,,
충청북도,청주제16호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,흥덕구 내곡동 81-1,답,평탄지,2011.10.25,200,210,2220,153,350,,,,,,
충청북도,청주제17호,1,거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,청주시,상당구 낭성면 관정리 438-1,도로,평탄지,1982.11.11,530,569,2500,153,480,,,,,,
충청북도,청주제17호,1,거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,청주시,상당구 낭성면 관정리 438-1,도로,평탄지,1982.11.11,530,569,2500,414,480,,,,,,
충청북도,청주제18호,1,거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,청주시,상당구 낭성명 호정리 30,답,평탄지,1982.11.11,300,339,1600,51,1300,,,,,,
충청북도,청주제19호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 문박리 235-1,전,평탄지,1982.11.11,250,289,160,51,160,,,,,,
충청북도,청주제20호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 문박리 80-4,도로,평탄지,1982.11.11,280,319,150,51,160,,,,,,
충청북도,청주제21호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 삼산리 508,구거,평탄지,1982.11.11,280,319,150,153,160,,,,,,
충청북도,청주제22호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 현암리 55-2,대지,평탄지,1982.11.11,300,339,1000,38,480,,,,,,
충청북도,청주제23호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 무성리 120-4,도로,평탄지,1982.11.11,260,299,120,80,120,,,,,,
충청북도,청주제24호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 추정리 산87-2,임야,평탄지,1982.11.11,330,369,1500,80,250,,,,,,
충청북도,청주제24호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 추정리 산87-2,임야,평탄지,1982.11.11,330,369,1500,80,250,,,,,,
충청북도,청주제24호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 낭성면 추정리 산87-2,임야,평탄지,1982.11.11,330,369,1500,239,250,,,,,,
충청북도,청주제25호,1,거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,청주시,상당구 미원면 성대리 361,대지,평탄지,1982.11.11,380,419,1300,76,750,,,,,,
충청북도,청주제26호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 미원리 593-2,대지,평탄지,1982.11.11,200,239,1000,197,240,,,,,,
충청북도,청주제27호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 미원리 120,임야,평탄지,1982.11.11,230,269,1500,108,620,,,,,,
충청북도,청주제28호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 쌍이리 266-1,전,평탄지,1982.11.11,200,239,1700,150,340,,,,,,
충청북도,청주제29호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 중리 114-2,구거,평탄지,1982.11.11,300,339,1700,118,470,,,,,,
충청북도,청주제30호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 중리 29-1,전,평탄지,1982.11.11,200,239,1800,92,370,,,,,,
충청북도,청주제31호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 구방리 53-1,답,평탄지,1982.11.11,150,189,1000,169,290,,,,,,
충청북도,청주제32호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 구방리 73-1,전,평탄지,1982.11.11,230,269,2000,169,530,,,,,,
충청북도,청주제32호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 구방리 73-1,전,평탄지,1982.11.11,230,269,2000,41,530,,,,,,
충청북도,청주제33호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 구방리 258-43,전,평탄지,1982.11.11,150,189,130,248,130,,,,,,
충청북도,청주제34호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 운교리 208-2,답,평탄지,1982.11.11,330,369,2500,80,780,,,,,,
충청북도,청주제35호,1,거목,풍치목,소나무,반송,Pinus densiflora,청주시,상당구 미원면 대덕리 242-2,대지,평탄지,1982.11.11,180,219,1000,108,250,,,,,,
충청북도,청주제36호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 대덕리 210-2,대지,평탄지,1982.11.11,180,219,1500,108,340,,,,,,
충청북도,청주제37호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 운용리 283,임야,평탄지,1982.11.11,200,239,1500,118,340,,,,,,
충청북도,청주제38호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 화원리 150-1,대지,평탄지,1982.11.11,230,269,1500,80,370,,,,,,
충청북도,청주제39호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 화원리 471-2,도로,평탄지,1982.11.11,230,269,1800,61,250,,,,,,
충청북도,청주제40호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 용곡리 506-1,답,평탄지,1982.11.11,120,159,1000,70,190,,,,,,
충청북도,청주제41호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 대신리 67-2,임야,평탄지,1982.11.11,120,159,1000,143,220,,,,,,
충청북도,청주제42호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 가양리 144,임야,평탄지,1982.11.11,280,319,1800,175,450,,,,,,
충청북도,청주제43호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 기암리 306,도로,평탄지,1982.11.11,250,289,2000,220,550,,,,,,
충청북도,청주제44호,1,거목,풍치목,버드나무,버드나무,"Salix koreensis Andersson 
 
",청주시,상당구 미원면 수산리 408,답,평탄지,1982.11.11,200,239,2000,169,690,,,,,,
충청북도,청주제45호,1,거목,풍치목,느티나무,느티나무,Zelkova serrata MAKINO ,청주시,상당구 미원면 내산리 117-1,전,평탄지,1982.11.11,300,339,1800,89,530,,,,,,
