□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서1-5,1,노거목,풍치목,회화나무,회화나무,Sophora japonica,종로구,종로33길 31,대,평지,1981.10.27,465,507,1600,120,380,,,,,,
서울특별시,서1-6,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba,종로구,신영동 240-1,대,충적대지,1988.06.08,510,545,1450,190,590,,,,,,
서울특별시,서1-7,1,노거목,풍치목,회화나무,회화나무,Sophora japonica,종로구,화동 2,대,평지,2000.06.05,300,323,1800,120,380,,,,,,
서울특별시,서1-8,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba,종로구,와룡동 4-1,사적,평지,1972.10.12,425,476,1500,150,340,,,,,,
서울특별시,서1-9,1,노거목,풍치목,회화나무,회화나무,Sophora japonica,종로구,견지동 45,대,평지,1972.10.12,450,501,2600,140,430,,,,,,
서울특별시,서1-10,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba,종로구,행촌동 1,대,평지,1976.06.05,420,467,2450,220,680,,,,,,
서울특별시,서1-11,1,노거목,풍치목,소나무,소나무,Pinus densiflora,종로구,구기동 81-38,대,충적대지,1981.10.27,315,357,1200,70,190,,,,,,
서울특별시,서1-12,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,종로구,궁정동 1-45,대,평지,1981.10.27,315,357,2000,100,330,,,,,,
서울특별시,서1-13,1,희귀목,풍치목,기타,중국굴피나무,Pterocarya stenoptera,종로구,청운동 89-64,대,도로옆,1981.10.27,415,457,2300,100,310,,,,,,
서울특별시,서1-14,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba,종로구,계동 1,대,경사,1988.06.08,510,545,2000,110,360,,,,,,
