가-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,2.8861527640666083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022002147339797773,0,0,0,0,0,0,0,0,0,,,,,0,0,0.9647956260315135,0,0,0,0,0,0,0
NO.0+4.00,4,2.859479124683048,11.491263777499313,11.491263777499313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.491263777499313,0,0,0,0,0,0,0.027405963217404405,0.09881622111440436,0.10052514864130657,0,0,0,0,0,0,0.10052514864130657,,,,,0.13765778436644985,0.2753155687328997,1.4681744886068173,4.865940229276662,0,0,0,0,0,0
NO.0+7.50,3.5,0.4214450206996858,5.7416172544197845,5.7416172544197845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7416172544197845,0,0,0,0,0,0,0.07850342451806114,0.1853414285370647,0.18854672282509125,0,0,0,0,0,0,0.18854672282509125,,,,,0.2829459136921401,0.7360564716025325,0.24367338941447833,2.9957337865372673,0,0,0,0,0,0
NO.0+7.79,0.28800000000000026,0.8343294998102877,0.18083153095343635,0.18083153095343635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18083153095343635,0,0,0,0,0,0,0.007882641276502511,0.012439593474417176,0.012654723778654299,0,0,0,0,0,0,0.012654723778654299,,,,,0,0.040744211571668215,0,0.03508896807568491,0,0,0,0,0,0
소계,7.788,7.00140640925963,17.413712562872536,17.413712562872536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.413712562872536,0,0,0,0,0,0,0.13579417635176583,0.29659724312588626,0.3017265952450521,0,0,0,0,0,0,0.3017265952450521,0.3017265952450521,0.3017265952450521,0,17.111985967627483,0.42060369805859,1.0521162519071006,2.676643504052809,7.896762983889613,0,0,0,0,0,0
총계,7.788,7.00140640925963,17.413712562872536,17.413712562872536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.413712562872536,0,0,0,0,0,0,0.13579417635176583,0.29659724312588626,0.3017265952450521,0,0,0,0,0,0,0.3017265952450521,0.3017265952450521,0.3017265952450521,0,17.111985967627483,0.42060369805859,1.0521162519071006,2.676643504052809,7.896762983889613,0,0,0,0,0,0
