1. 토지이용계획표,,,,,,,,,,,,,,,,,,,,
구 분,,,,기본구상안,,비고,,,,,,,,,,,,,,
,,,,면적(㎡),구성비(%),,,,,,,,,,,,,,,
C-2BL,,,분양,소계,1,42339,2.3,97379.69999999998,,,834,1834.8000000000002,,,,,,,,
,,,,60~85㎡ 이하,0.6,25403,,58426.899999999994,105,2.2,556,1223.2,,,,,,,,
,,,,85㎡ 초과,0.4,16936,,38952.799999999996,140,2.2,278,611.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
 - 주상복합,,,,,,,,,,,,,,,,,,,,
구분,,,,,평형비율(%),부지면적(㎡),용적률(%),연면적(㎡),단위면적(㎡),세대당 인구,세대수,인구수,,,,,,,,
합계,,,,,,39735,,107284.5,,,919,2021.8000000000002,,,,,,,,
주복,,,분양,소계,1,39735,3,107284.5,,,919,2021.8000000000002,,,,,,,,
,,,,60~85㎡ 이하,0.6,23841,,64370.700000000004,105,2.2,613,1348.6000000000001,,,,,,,,
,,,,85㎡ 초과,0.4,15894,,42913.8,140,2.2,306,673.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
 - 단독주택,,,,,,,,,,,,,,,,,,,,
구분,,,,,,부지면적(㎡),필지별면적(㎡),필지당 세대수,세대당 인구,필지수,세대수,인구수,,,,,,,,
합계,,,,,,64931,,,,244.02264150943395,244.02264150943395,536.8498113207547,,,,,,,,
이주자택지,,,,,,15131,265,1,2.2,57.09811320754717,57.09811320754717,125.61584905660379,,,,,,,,
협의양도인택지,,,,,,34585,265,1,2.2,129.50943396226415,129.50943396226415,284.92075471698115,,,,,,,,
블록형 택지,,,,,,15215,265,1,2.2,57.41509433962264,57.41509433962264,126.31320754716982,,,,,,,,
