도로 총괄 토적표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도로명,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,,비고
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A,
소3 연5,39.477,0.16696932223148764,1.3134905473272716,1.3134905473272716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3134905473272716,0,0,0,0,0,0,3.9004804778089905,31.209664153948736,31.749404022328314,0,0,0,0,0,0,31.749404022328314,1.3134905473272716,1.3134905473272716,30.43591347500104,0,0,0,0,0,0,0,0,0,0,0,
소3 연7,33.091,0.27683956117493125,2.032179974274842,2.032179974274842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.032179974274842,0,0,0,0,0,0,1.6580486938742203,12.695447200214462,12.915002238264966,0,0,0,0,0,0,12.915002238264966,2.032179974274842,2.032179974274842,10.882822263990125,0,1.718686416185448,12.078624236977186,0.3915825603723715,1.348088097017072,0,0,0,0,0,0,
소3 연9,31.782,0.17569327563690607,1.4366618326200484,1.4366618326200484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4366618326200484,0,0,0,0,0,0,2.5602545574813718,37.72744842154159,38.37990683778391,0,0,0,0,0,0,38.37990683778391,1.4366618326200484,1.4366618326200484,36.94324500516387,0,0,0,0,0,0,0,0,0,0,0,
소3 연13,17.658,0.5433782348052318,2.995547721556839,2.995547721556839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.995547721556839,0,0,0,0,0,0,4.282283782788301,7.293805606010279,7.419944665320731,0,0,0,0,0,0,7.419944665320731,2.995547721556839,2.995547721556839,4.424396943763892,0,0,0,0,0,0,0,0,0,0,0,
소1진2,63.643,0.12567014086627015,0.946315083428267,0.946315083428267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946315083428267,0,0,0,0.041600432574494306,0.4954939027116384,0.5669266621414627,0,0,0,0,0,0,0,0,0,0.5669266621414627,0.5408221545659239,0.5408221545659239,0.026104507575538838,0.40549292886234317,0,0,0,0,0,0,0,0,0,0,
가-1,127.437,6.764267518402249,54.18649446452535,54.18649446452535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.18649446452535,0,0,0,0,0,0,634.1828819645903,5155.18850033209,5244.342319768148,0,0,0,0,0,0,5244.342319768148,54.18649446452535,54.18649446452535,5190.155825303622,0,0,0,0,0,0,0,0,0,0,0,
가-2,15,5.091893648774686,19.5561433346799,19.5561433346799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5561433346799,0,0,0,0,0,0,2.8037022123222073,10.162045206439018,10.337787595563597,0,0,0,0,0,0,10.337787595563597,10.337787595563597,10.337787595563597,0,9.218355739116301,1.1558657419075864,4.033098738036616,0,0,0,0,0,0,0,0,
가-3,7.788,7.00140640925963,17.413712562872536,17.413712562872536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.413712562872536,0,0,0,0,0,0,0.13579417635176583,0.29659724312588626,0.3017265952450521,0,0,0,0,0,0,0.3017265952450521,0.3017265952450521,0.3017265952450521,0,17.111985967627483,0.42060369805859,1.0521162519071006,2.676643504052809,7.896762983889613,0,0,0,0,0,0,
라-1-1,83.939,9.45443163888811,118.10146286270933,118.10146286270933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.10146286270933,0,0,0,114.70862741178853,582.6768128935909,666.6782756219576,0,0,0,0,0,0,0,0,0,666.6782756219576,118.10146286270934,118.10146286270934,548.5768127592484,0,0,0,0,0,0,0,0,0,0,0,
라-1-2,55.956,10.336643998425547,39.382338956250955,39.382338956250955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.382338956250955,0,0,0,49.25059758848339,235.73441008015874,269.7190046683739,5.3860206698486195,13.983333232408338,14.225160968879287,0,0,0,0,0,0,283.94416563725315,39.38233895625096,39.38233895625096,244.56182668100217,0,0,0,0,0,0,0,0,0,0,0,
라-1-3,54.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.16000000000003,646.0819241305809,739.2241694857905,73.70066059515338,253.0751021499768,257.45178245165494,0,0,0,0,0,0,996.6759519374455,0,0,996.6759519374455,0,0,0,0,0,0,0,0,0,0,0,
총계,2056.1822997425284,85.960921334384,546.4467282669925,546.4467282669925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.4467282669925,0,0,0,302.973724410614,1469.4826249232628,1681.330234465976,948.4436396938869,7556.562006629636,7687.245174597798,0,0,0,0,0,0,9368.575409063775,428.35709894698414,428.35709894698414,8940.21831011679,118.08962932000844,14.642324034958135,115.13797562364991,6.321097016424792,35.98544212883784,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
