자 재 집 계 표,,,,,,,,,,,,관급,,,
공     종,,규    격,단위,우수공,오수공,포장공,구조물공,상수공,조경공,계,"할
증",할 증 계,숨김,,
오수받이,,,EA,,1,,,,,1,3,1,1,1,
석재이동로,,500X1000X100,EA,,,,,,60,60,1,61,1,1,
석재이동로,,500X1500X75,EA,,,,,,0,0,1,0,,,
"제수변
보호통",일반형,중형,조,,,,,,,0,3,0,,,
,일반형,D50,조,,,,,,,0,3,0,,,
,철개,,조,,,,,,,0,3,0,,,
정티,,D63,EA,,,,,,,0,3,0,,,
소켓플랜지관,,D225(200),EA,,,,,0,,0,3,0,,,
,,D63,EA,,,,,,,0,3,0,,,
곡관,,D225*90,EA,,,,,0,,0,3,0,,,
,,D225*45,EA,,,,,0,,0,3,0,,,
이경소켓,,D225*32,EA,,,,,0,,0,3,0,,,
,,D225*20,EA,,,,,0,,0,3,0,,,
이음관,,D225,EA,,,,,0,,0,3,0,,,
부단수정자관,,D90X63,EA,,,,,0,,0,3,0,,,
마개플랜지,,D63,EA,,,,,,,0,3,0,,,
아스팔트유제,,RSC - 4,D/M,,,3.9,,,,3.9,3,4,1,1,
,,RSC - 3,D/M,,,7.3,,,,7.3,3,8,1,1,
마사토,,,㎡,,,310,,,,310,6,329,1,1,
모래,,,㎡,37,,364.1,,5,,406.1,6,430,1,1,
성곽석,,200~600,Ton,1016,,,,,,1016,6,1077,1,1,
혼합석,,40mm,㎥,,,1551.8,,,,1551.8,"*1.04
/0.81",1992,1,1,
고임돌,,150mm,㎥,,,,26.88,,,26.88,"*1.04
/0.81",35,1,1,
쇄석골재,,40mm,㎥,256,,,39.68,,,295.68,"*1.04
/0.81",380,1,1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,1992.43,,1992.43,,*1.04/0.81,,,
폐콘,,,,70.37,,,,,,70.37,,70.37,1,1,
폐아,,,,176.53,,,,,,176.53,,176.53,1,1,
운반,,,,246.9,,,,,,246.9,,246.9,1,1,
임목,,,,263.7,,,,,,263.7,,263.7,1,1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
