1. 토지이용계획표,,,,,,,,,,,,,,,,,,,
구 분,,,,면적(㎡),,비고,,,,,,,,,,,,,
,,,,기정,구성비(%),,,,,,,,,,,,,,
,,,,85㎡ 초과,0.2,11108,,26659.2,140,2.2,190,418,,,,,,,
9BL,,,분양,소계,1,40065,2.4,96156,,,842,1852,,,,,,,
,,,,60㎡ 이하,0.1,4007,,9616.8,80,2.2,120,264,,,,,,,
,,,,60~85㎡ 이하,0.7,28045,,67308,115,2.2,585,1287,,,,,,,
,,,,85㎡ 초과,0.2,8013,,19231.2,140,2.2,137,301,,,,,,,
,,,,,,,,,,,,,,,,,,,
 - 주상복합,,,,,,,,,,,,,,,,,,,
구분,,,,,평형비율(%),부지면적(㎡),용적률(%),연면적(㎡),단위면적(㎡),세대당 인구,세대수,인구수,,,,,,,
합계,,,,,,51043,,181713.08000000002,,,1454,3198,,,,,,,
주복1,,,분양,소계,1,20765,4,73923.4,,,585,1287,,,,,,,
,,,,60~85㎡ 이하,0.5,10382,,36959.92,115,2.2,321,706,,,,,,,
,,,,85㎡ 초과,0.5,10383,,36963.48,140,2.2,264,581,,,,,,,
주복2,,,분양,소계,1,30278,4,107789.68000000001,,,869,1911,,,,,,,
,,,,60~85㎡ 이하,0.6,18167,,64674.520000000004,115,2.2,562,1236,,,,,,,
,,,,85㎡ 초과,0.4,12111,,43115.16,140,2.2,307,675,,,,,,,
,,,,,,,,,,,,,,,,,,,
 - 단독주택,,,,,,,,,,,,,,,,,,,
구분,,,,,,부지면적(㎡),필지별면적(㎡),필지당 세대수,세대당 인구,필지수,세대수,인구수,,,,,,,
합계,,,,,,49952,,,,188,188,414,,,,,,,
이주자택지,,,,,,49952,265,1,2.2,188,188,414,,,,,,,
협의양도인택지,,,,,,,265,1,2.2,0,0,0,,,,,,,
