소3 연8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.6+11.45,6.280511079683194,1.9835165132884356,7.81654149583978,7.81654149583978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81654149583978,0,0,0,0,0,0,0.10253610023244164,1.787022094687855,1.817926851157533,0,0,0,0,0,0,1.817926851157533,,,,,0.25589873212419395,2.7810661256720297,0.9959190219914167,5.092600917907653,0,0,0,0,0,0
NO.6+14.81,3.3586182924983348,0.38951219030235507,3.985048806251819,3.985048806251819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.985048806251819,0,0,0,0,0,0,0.1576160018604007,0.4368758044604573,0.4444311337339342,0,0,0,0,0,0,0.4444311337339342,,,,,0,0.42973308136972455,0,1.6724559225537117,0,0,0,0,0,0
NO.7,5.192750715986136,0.197855164243677,1.5250261254328954,1.5250261254328954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5250261254328954,0,0,0,0,0,0,0.10923450480734687,0.6928440797801048,0.7048261238861696,0,0,0,0,0,0,0.7048261238861696,,,,,0,0,0,0,0,0,0,0,0,0
NO.7+3.44,3.438547678282873,0,0.34016720782318605,0.34016720782318605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34016720782318605,0,0,0,0,0,0,2.570218208669317,4.606712953496964,4.686381437941978,0,0,0,0,0,0,4.686381437941978,,,,,0,0,0,0,0,0,0,0,0,0
NO.8,16.561452321717127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.805591738515034,69.35778854802884,70.55726200206392,0,0,0,0,0,0,70.55726200206392,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,3.0765092083437224,15.38936475654711,15.38936475654711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38936475654711,0,0,0,0,0,0,9.211729458592394,81.76976613267654,83.18389230180726,0,0,0,0,0,0,83.18389230180726,15.38936475654711,15.38936475654711,67.79452754526015,0,0.8856177754923455,7.785229376410672,1.6217154474519413,9.437962777559246,0,0,0,0,0,0
NO.9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.885113564146806,106.9070530266184,108.75590338414894,0,0,0,0,0,0,108.75590338414894,,,,,0,0,0,0,0,0,0,0,0,0
NO.10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.974459798435568,98.59573362582374,100.30084804254705,0,0,0,0,0,0,100.30084804254705,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.859573362582374,205.50278665244213,209.056751426696,0,0,0,0,0,0,209.056751426696,0,0,209.056751426696,0,0,0,0,0,0,0,0,0,0,0
NO.11,20,0.06544304547257696,0.6544304547257696,0.6544304547257696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6544304547257696,0,0,0,0,0,0,0.25642538463656805,52.30885183072136,53.213481007854895,0,0,0,0,0,0,53.213481007854895,,,,,0,0,0,0,0,0,0,0,0,0
NO.11+6.85,6.852000000000004,0.0977495010874776,0.5590976645147472,0.5590976645147472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5590976645147472,0,0,0,0,0,0,0,0.8785133677648826,0.8937063761595958,0,0,0,0,0,0,0.8937063761595958,,,,,0,0,0,0,0,0,0,0,0,0
소계,26.852000000000004,0.16319254656005455,1.2135281192405167,1.2135281192405167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2135281192405167,0,0,0,0,0,0,0.25642538463656805,53.18736519848624,54.107187384014495,0,0,0,0,0,0,54.107187384014495,1.2135281192405167,1.2135281192405167,52.89365926477398,0,0,0,0,0,0,0,0,0,0,0
총계,226.852,4.005256547604986,26.011774049143256,26.011774049143256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.011774049143256,0,0,0,0,0,0,23.418001175806374,389.5063868831724,396.242509545445,0,0,0,0,0,0,396.242509545445,26.01177404914326,26.01177404914326,370.23073549630175,0,4.409119018271148,52.17824500101186,2.963957265765071,26.592956038958825,0,0,0,0,0,0
