진천초평 일반산업단지 업종배치계획 및 공업용수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구  분,,,,면  적,,,,구성비,"인구
원단위","종사자수
(인)",이용인구,총인구수,미혼율,기혼율,미혼 종사자수,기혼 종사자수,세대당 인구수,기혼 가족수,"총 유발인구
(미혼종사자수+기혼가족수)",유입율,실 유입인구,"공업용수
원단위","공업 용수량
(톤/일)","생활용수
원단위","생활 용수량
(톤/일)","총 용수량
(톤/일)","폐수화율
(%)","폐수량
(톤/일)","유효수율
(%)","오수전환율
(%)","오수량
(톤/일)","지하수
유입량
(%)","지하수량
(톤/일)","총 오폐수량
(톤/일)",,,
,,,,㎡,,,평,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C29,기타 기계 및 장비 제조업,333377,333377,355377,100846,26.7,5,1667,,,#REF!,#REF!,#REF!,#REF!,2.33,#REF!,#REF!,0.5,#REF!,1.75,584,80,134,718,0.21,1,0.9,0.9,109,0.1,11,121,,,26.732
,,C31,기타 운송장비 제조업,0,,0,-1,0,7.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,C33,기타 제품 제조업,70510,70510,48510,21329,5.7,5.4,381,,,#REF!,#REF!,#REF!,#REF!,2.33,#REF!,#REF!,0.5,#REF!,1.65,116,80,30,146,0.21,0,0.9,0.9,25,0.1,3,28,,,5.654
,,,미분류,176328,,,53339,14.1,4.9,864,,,,,,,,,,,,2.34,413,80,70,483,0.21,1,0.9,0.9,57,0.1,6,64,,,14.139
,"물류시설
용지",소  계,,5281,,,1598,0.4,0,42,0,42,,,17,25,0,58,75,,38,0,0,0,4,4,0,0,0,0,4,0,0,4,,,
,,H52,"창고 및 운송관련 서비스업
(물류시설용지)",5281,,,1598,0.4,7.9,42,,42,0.41,0.59,17,25,2.33,58,75,0.5,38,0,0,80,4,4,80,0,0.9,0.9,4,0.1,0,4,,,
"지원시설
용지",소  계,,,10981,,,3322,0.9,,56,0,56,,,23,33,0,77,100,,50,,0,,5,5,,0,,,5,,1,6,,,
,지원시설용지,,,10981,,,3322,0.9,5.05,56,,56,0.41,0.59,23,33,2.33,77,100,0.5,50,0,0,80,5,5,80,0,0.9,0.9,5,0.1,1,6,,,
"공공시설
용지",소  계,,,371807,,,112471,29.800000000000004,,16,0,16,,,#REF!,#REF!,7.16,#REF!,#REF!,,#REF!,,0,,3,3,,0,,,3,,0,3,,,
,도  로,,,105466,,,31903,8.4,0,0,,,#REF!,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,#REF!,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,보행자도로,,,0,,,0,0,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,공공공지,,,2940,,,889,0.30000000000000004,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,공  원 (근린공원),,,54154,,,16382,4.3,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,녹  지 (완충녹지),,,111734,,,33800,9,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,주차장,,,7586,,,2295,0.6,0,0,,,#REF!,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,#REF!,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,저류시설 (유수지),,,39274,,,11880,3.1,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,공공폐수처리시설,,,6500,,,1966,0.6,0.33,2,,,0.41,0.59,1,1,2.33,2,3,0.5,2,0,0,80,1,1,80,0,0.9,0.9,1,0.1,0,1,,,
,폐기물처리시설,,,41323,,,12500,3.3,0.33,14,,,0.36,0.64,5,9,2.5,23,28,0.43,12,0,0,80,2,2,80,0,0.9,0.9,2,0.1,0,2,,,
,배수시설,,,2830,,,856,0.2,0,0,,,0.41,0.59,0,0,2.33,0,0,0.5,0,0,0,80,0,0,80,0,0.9,0.9,0,0.1,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 톤/일),,,,,,,,,,,,
,,,,구분,,,,용수,,,,,,,,,,,,,,오·폐수량,비고,,,,,,,,,,,,,,
,,,,,,,,계,공업,생활,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24년 지정계획,,,,3358,3096,262,,,,,,,,,,,,1088,15개 업종 → 10개 업종,,,,,,,,,,,,,,
,,,,24년 유치업종,,,,4582,4187,395,,,,,,,,,,,,2266,15개 업종,,,,,,,,,,,,,,
,,,,승인신청용,,,,3336,2963,373,,,,,,,,,,,,1045,10개 업종 (최종),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
