소3 연4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.6,16.78611372457472,0.00903644273257953,0.07584337768734337,0.07584337768734337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07584337768734337,0,0,0,0,0,0,0.013081497963554511,2.124436552497528,2.1611765539140673,0,0,0,0,0,0,2.1611765539140673,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.00903644273257953,0.2231383879065116,0.2231383879065116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2231383879065116,0,0,0,0,0,0,1.263068662431472,8.416168789973616,8.561717995903985,0,0,0,0,0,0,8.561717995903985,0.2231383879065116,0.2231383879065116,8.338579607997474,0,0,0,0,0,0,0,0,0,0,0
NO.6+3.70,3.7016339606652195,0,0.016724801651261403,0.016724801651261403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016724801651261403,0,0,0,0,0,0,0.120164195577523,0.2466133921620214,0.2508783236643148,0,0,0,0,0,0,0.2508783236643148,,,,,0,0,0,0,0,0,0,0,0,0
NO.7,16.29836603933478,0.01901712348570328,0.1549740197926111,0.1549740197926111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1549740197926111,0,0,0,0,0,0,0.23251465337450128,2.8740444872756767,2.923748206791126,0,0,0,0,0,0,2.923748206791126,,,,,0,0,0,0,0,0,0,0,0,0
NO.7+16.91,16.90718312975696,0.14456973258921835,1.3828964666399473,1.3828964666399473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3828964666399473,0,0,0,0,0,0,0,1.9655839124773276,1.9995767166605571,0,0,0,0,0,0,1.9995767166605571,,,,,0,0,0,0,0,0,0,0,0,0
NO.8,3.092816870243041,0.11958538813984987,0.40849170687597475,0.40849170687597475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40849170687597475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.2831722442147715,1.9630869949597947,1.9630869949597947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9630869949597947,0,0,0,0,0,0,0.3526788489520243,5.086241791915025,5.174203247115997,0,0,0,0,0,0,5.174203247115997,1.9630869949597947,1.9630869949597947,3.2111162521562027,0,0,0,0,0,0,0,0,0,0,0
NO.8+4.07,4.068743199509015,0.051077838600036785,0.34719242160208946,0.34719242160208946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34719242160208946,0,0,0,0,0,0,0.03894636566570142,0.07923138022395702,0.08060160755234692,0,0,0,0,0,0,0.08060160755234692,,,,,0,0,0,0,0,0,0,0,0,0
NO.8+9.16,5.094256800490996,0.003888280451256776,0.14000576288682495,0.14000576288682495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14000576288682495,0,0,0,0,0,0,0.24114362996215277,0.7134251824883447,0.7257631561427719,0,0,0,0,0,0,0.7257631561427719,,,,,0,0,0,0,0,0,0,0,0,0
소계,9.163000000000011,0.05496611905129356,0.4871981844889144,0.4871981844889144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4871981844889144,0,0,0,0,0,0,0.2800899956278542,0.7926565627123018,0.8063647636951188,0,0,0,0,0,0,0.8063647636951188,0.4871981844889144,0.4871981844889144,0.3191665792062044,0,0,0,0,0,0,0,0,0,0,0
총계,169.163,2.6687695989714832,16.819233657104736,16.819233657104736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.819233657104736,0,0,0,0,0,0,6.625613206310705,63.077041379990185,64.16789560527994,0,0,0,0,0,0,64.16789560527994,16.819233657104736,16.819233657104736,47.34866194817521,0,0,0,0,0,0,0,0,0,0,0
