순,목,,과,,학명,,출현,
385,,,,,네눈은빛애기자나방,Problepsis diazoma,,○
386,,,,,꼬마네눈애기자나방,Problepsis minuta,,○
387,,,,,금빛가지나방,Scardamia aurantiacaria,,○
388,,,,,보라끝가지나방,Selenia tetralunaria,,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
389,,,,,왕그물물결자나방,Sibatania mactata,,○
390,,,,,쥐빛가지나방,Tephrina vapulata,,○
391,,,,,머리물결자나방,Thera variata,,○
392,,,,,네눈박이물결자나방,Thetidia albocostaria,,○
393,,,,,붉은날개애기자나방,Timandra griseata,,○
394,,,,,얼룩물결자나방,Typloptera be la,,○
395,,,,,흰띠왕가지나방,Xandrames dholaria,,○
396,,,,,노랑얼룩끝짤룩가지나방,Zethenia testacea,,○
397,,,,,노랑귀무늬가지나방,Eilicrinia paryula Wehrli,,○
398,,,갈고리나방과,Drepanidae,남방흰갈고리나방,Deroca inconclusa subsp. coreana,1,
399,,,,,밤색갈고리나방,Drepana curvatula,,○
400,,,,,황줄점갈고리나방,Nordstr omia japonica,,○
401,,,,,세줄꼬마갈고리나방,Pseudalbara parvula,,○
402,,,왕갈고리나방과,Cyclidiidae,왕갈고리나방,Cyclidia substigmaria,,○
403,,,쐐기나방과,Limacodidae,뒷검은푸른쐐기나방,Latoia sinica,,○
404,,,,,꼬마얼룩무늬쐐기나방,Narosa  fulgens,1,
405,,,,,흰점쐐기나방,Austrapoda  dentata,1,○
406,,,,,노랑쐐기나방,Monema  flavescens,,
407,,,뾰족날개나방과,Thyatiridae,무늬뾰족날개나방,Thyatira batis subsp. batis,1,○
408,,,,,흰뾰족날개나방,Habrosyne  pyritoides subsp. derasoides,2,
409,,,,,애기담홍뾰족날개나방,Habrosyne aurorina,,○
410,,,,,넓은뾰족날개나방,Tethea ampliata,,○
411,,,산누에나방과,Saturniidae,옥색긴꼬리산누에나방,Actias gnoma,,○
412,,,누에나방과,Bombycidae,멧누에나방,Bombyx  mandarina,1,
413,,,독나방과,Lymantriidae,점흰독나방,Arctornis kumatai,,○
414,,,,,꼬마독나방,Euproctis pulverea,,○
415,,,,,매미나방,Lymantria dispar,2,
416,,,박각시과,Sphingidae,우단박각시,Rhagastis mongoliana,1,○
417,,,,,애벌꼬리박각시,Aspledon  himachala subsp. sangaica,1,
418,,,,,꼬리박각시,Macroglo sum ste latarum,2,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
419,,,,,작은검은꼬리박각시,Macroglo sum bombylans,2,
420,,,,,검은꼬리박각시,Macroglo sum saga,1,
421,,,,,포도박각시,Acosmeryx naga,,○
422,,,,,갈고리박각시,Ambulyx japonica koreana,,○
423,,,,,녹색박각시,Ca lambulyx tatarinovi,,○
424,,,,,콩박각시,Clanis bilineata,,○
425,,,,,주홍박각시,Deilephila elpenor,,○
426,,,,,분홍등줄박각시,Marumba gaschkewitschi,,○
427,,,솔나방과,Lasiocampidae,사과나무나방,Odonetis  pruni subsp. rufescens,1,○
428,,,재주나방,Notodontidae,때죽나무재주나방,Syntypistis cyanea,1,
429,,,,,뒷검은재주나방,Cnethodonta  grisescens,1,
430,,,,,고려재주나방,Neodrymonia  coreana,2,○
431,,,,,꽃술재주나방,Dudusa sphigiformis,,○
432,,,,,회색재주나방,Quadricalcarifera pryeri,,○
433,,,,,겹날개재주나방,Semidonta biloba,,○
434,,,,,긴띠재주나방,Shaka atrovi tatus,,○
435,,,,,비녀재주나방,Suzukiana cinerea,,○
436,,,불나방과,Arctiidae,알락노랑불나방,Stigmatophora flava,,○
437,,,,,앞날개무늬불나방,Eilema cribrata,3,
438,,,,,각시불나방,Eilema japonica,3,
439,,,,,넉점박이불나방,Lithosia  quadra,1,
440,,,,,줄점불나방,Spilarctia seriatopunctata,2,○
441,,,,,앞선두리불나방,Agy la gigantea,,○
442,,,,,노랑테불나방,Eilema griseola,,○
443,,,,,교차무늬주홍테불나방,Miltochrista abe rans,,○
444,,,,,노랑불나방,Miltochrista pa lida,,○
445,,,,,홍줄불나방,Miltochrista striata,,○
446,,,,,톱날무늬노랑불나방,Miltochrista ziczac,,○
447,,,,,외줄점불나방,Spilarctia luteum,,○
448,,,밤나방과,Noctuidae,물결밤나방,Diarsia canescens,1,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
449,,,,,보라붉은밤나방,Diarsia ruficauda,1,
450,,,,,잔디밤나방,Spodoptera  depravata,2,
451,,,,,남방구리밤나방,Mecodina  nubiferalis,1,
452,,,,,무궁화잎밤나방,Anomis  mesogona,1,
453,,,,,흰줄태극나방,Metopta  rectifasciata,2,○
454,,,,,태극나방,Spirama retorta,1,○
455,,,,,청백무늬밤나방,Ercheia niveostrigata,1,
456,,,,,주홍흰무늬저녁나방,Euromoia  subpulchra,1,
457,,,,,구름잎밤나방,Erygia apicalis,1,
458,,,,,줄무늬꼬마밤나방,Hyposada  brunnea,1,
459,,,,,얼룩짤름나방,Lophomilia  polybapta,1,
460,,,,,암청색줄무늬밤나방,Arcte coerula,50,
461,,,,,까마귀밤나방,Amphipyra livida,1,
462,,,,,각시뒷노랑수염나방,Hypena (Hypena) claripennis,1,
463,,,,,썩은밤나방,Axylia putris,1,○
464,,,,,주을밤나방,Hoplodrina  euryptera,1,
465,,,,,곧은띠수염나방,Simplicia niphona,1,○
466,,,,,일본두줄밤나방,Protomiselia  bilinea,1,
467,,,,,담색쌍검은밤나방,Sineugraphe  bipartita,1,
468,,,,,날개수염나방,Polypogon  gryphalis,1,
469,,,,,꼬마혹수염나방,Zanclognatha  tarsipennalis,1,
470,,,,,흰무늬띠밤나방,Athetis lineosa,1,
471,,,,,세줄무늬수염나방,Herminia arenosa,1,
472,,,,,숫검은밤나방,Agrotis tokionis,,○
473,,,,,긴수염비행기밤나방,Anuga multiplicans,,○
474,,,,,꽃무늬꼬마밤나방,Aventiola pusi la,,○
475,,,,,어린밤나방,Ca lopistria juventina,,○
476,,,,,금빛갈고리밤나방,Calyptra lata,,○
477,,,,,깊은산밤나방,Cosmia unicolor,,○
478,,,,,네눈검정잎밤나방,Diomea discisigna,,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
479,,,,,보라끝수중다리밤나방,Dysgonia maturata,,○
480,,,,,붉은가밤나방,Earias pudicana,,○
481,,,,,쌍복판눈수염나방,Ede sena hamada,,○
482,,,,,보라무늬밤나방,Ercheia umbrosa,,○
483,,,,,왕흰줄태극나방,Erebus ephesperis,,○
484,,,,,검은띠수염나방,Hadennia incongruens,,○
485,,,,,넓은띠담흑수염나방,Hydri lodes funeralis,,○
486,,,,,뒷노랑수염나방,Hypena amica,,○
487,,,,,대만수염나방,Hypena trigonalis,,○
488,,,,,복판눈밤나방,Idia curvipalpis,,○
489,,,,,무궁화밤나방,Lagoptera juno,,○
490,,,,,넓은띠흰꼬마밤나방,Malia tha signifera,,○
491,,,,,벼애나방,Naranga aenescens,,○
492,,,,,줄수염나방,Paracolax trilinealis,,○
493,,,,,은무늬갈고리밤나방,Plusiodonta casta,,○
494,,,,,쌍줄푸른밤나방,Pseudoips fagana,,○
495,,,,,칠성밤나방,Senta flammea,,○
496,,,,,쌍검은밤나방,Sineugraphe exusta,,○
497,,,,,봉인밤나방,Sphragifera sigi lata,,○
498,,,,,흰띠잎밤나방,Sypnoides hercules,,○
499,,,,,흰줄썩은잎밤나방,Sypnoides picta,,○
500,,,,,지옥수염나방,Zanclognatha fumosa,,○
501,,,,,줄회색밤나방,Zanclognatha griselda,,○
502,,,,,노랑수염나방,Zanclognatha helva,,○
503,,,,,물결쌍검은밤나방,Sineugraphe oceanica,,○
504,,,,,붉은무늬갈색밤나방,Siglophora sanguinolenta,,○
505,,,,,깊은산노랑뒷날개나방,Catocala deuteronympha,,○
506,,,팔랑나비과,Hesperiidae,멧팔랑나비,Erynnis montanus,,○
507,,,,,줄점팔랑나비,Parnara gu tatus,1,○
508,,,,,검은테떠들썩팔랑나비,Ochlodes  ochracea,7,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
509,,,,,흰점팔랑나비,Pyrgus maculatus,3,
510,,,,,유리창떠들썩팔랑나비,Ochlodes  subhyalinus,3,
511,,,,,왕자팔랑나비,Daimio  tethys,5,
512,,,,,푸른큰수리팔랑나비,Choaspes benjamin i,2,
513,,,호랑나비과,Papilionidae,제비나비,Papilio bianor,57,○
514,,,,,호랑나비,Papilio  xuthus,11,○
515,,,,,산호랑나비,Papilio  machaon,4,○
516,,,,,산제비나비,Papilio maack i,3,○
517,,,,,긴꼬리제비나비,Papilio  macilentus,7,○
518,,,,,청띠제비나비,Graphium sarpedon,3,○
519,,,흰나비과,Pieridae,노랑나비,Colias  erate,13,○
520,,,,,배추흰나비,Pieris rapae,24,○
521,,,,,남방노랑나비,Eurema mandarina,45,○
522,,,,,큰줄흰나비,Pieris melete,5,○
523,,,,,극남노랑나비,Eurema laeta,46,○
524,,,부전나비과,Lycaenidae,푸른부전나비,Celastrina argiolus,1,
525,,,,,작은주홍부전나비,Lycaena phlaeas,3,○
526,,,,,남방부전나비,Pseudozizeeria  maha,15,○
527,,,,,뾰족부전나비,Curetis acuta,1,
528,,,,,암먹부전나비,Cupido  argiades,2,○
529,,,,,까마귀부전나비,Fixsenia w-album,,○
530,,,,,먹부전나비,Tongeia fischeri,,○
531,,,네발나비과,Nymphalidae,뿔나비,Libythea lepita,2,
532,,,,,줄나비,Limenitis cami la,1,
533,,,,,제일줄나비,Limenitis helmanni marinus,1,
534,,,,,애기세줄나비,Neptis sappho,3,
535,,,,,별박이세줄나비,Neptis pryeri,1,○
536,,,,,네발나비,Polygonia  c-aureum,11,○
537,,,,,홍점알락나비,Hestina a similis,1,○
538,,,,,작은멋쟁이나비,Vane sa cardui,5,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
539,,,,,큰멋쟁이나비,Vane sa indica,2,○
540,,,,,청띠신선나비,Nymphalis  canace,3,
541,,,,,흰줄표범나비,Argyronome laodice,,○
542,,,,,암검은표범나비,Damora sagana,,○
543,,,,,흰뱀눈나비,Melanargia  halimede,12,○
544,,,,,먹그늘나비,Lethe diana,3,
545,,,,,조흰뱀눈나비,Melanargia epimede,,○
546,,,,,애물결나비,Ypthima baldus,6,
547,,,,,물결나비,Ypthima multistriata,4,○
548,,,,,부처사촌나비,Mycalesis  francisca,4,
549,,,,,굴뚝나비,Minois  dryas,1,○
550,,,,,부처나비,Mycalesis  gotama,1,
