측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
1.2,08월18(19)일,,,,,,,,,"보호펜스, trap 예초",
3.4,08월24(25)일,,,,,,,,,pitfall-trap 설치,
83,,41.1,7.8,1,,,,,,E,
84,,44.7,11.1,1,,,,,,,
85,,41.5,9,1,,,,,,,
86,,44.5,9.7,,1,,,,,,
87,,42.9,9.4,1,,,,,,,
88,,41.2,8.7,1,,,,,,,
89,,45.2,10.2,,1,,,,,,
90,,38.9,6.7,1,,,,,,,
91,,39.1,7.2,1,,,,,,,
92,,36.4,5.8,1,,,,,,,
93,,29.7,3.6,,,1,,,,,
94,,29.7,2.8,,,1,,,,,
95,,29.6,2.3,,,1,,,,,
96,09월22일,39.4,9.3,,1,,,,,C,
97,,42.2,11.3,1,,,,,,E,
98,,45,12.5,,1,,,,,,
99,,37.8,8.3,1,,,,,,,
100,09월26일,32.8,6.7,,,1,,,,C,
101,,35.8,6.5,,,1,,,,,
102,,41.6,9.8,1,,,,,,E,
103,,46.5,12.8,,1,,,,,,
104,,42.8,12,1,,,,,,,
105,,42.9,7.8,1,,,,,,,
106,,27.7,3.7,,,,1,,,,
107,,36.6,6.7,,,1,,,,,
,SUM1,,,38,19,6,39,0,0,,
,SUM2,,,102,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
  아성체(sub-adult) : 만 1년 이상의 미성숙(immature)한 개구리 / svl 30mm 내외,,,,,,,,,,,
  당년생(froglet) : 올해 변태를 마친 개구리 / svl 20mm 내외,,,,,,,,,,,
,,,,,,,,,,,
측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
108,,36.9,6.2,,,1,,,,,
109,,33.6,5.3,,,1,,,,,
110,,31.5,4.5,,,1,,,,,
111,09월29일,30.5,4.8,,,1,,,,A,
112,,25.1,2.5,,,,1,,,,
113,,36.2,8.1,,,1,,,,E,
114,,38.3,8.1,,1,,,,,,
115,,30.3,3.9,,,1,,,,,
116,,38.9,7,1,,,,,,,
117,,32.3,5.1,,,1,,,,,
118,,36.2,6.2,,,1,,,,,
119,,33.5,4.8,,,1,,,,,
120,,32,5,,,1,,,,,
121,,32.2,4.5,,,1,,,,,
122,,32.8,4.7,,,1,,,,,
123,,29.8,4,,,1,,,,,
124,,29.9,4,,,1,,,,,
125,,29.4,3.3,,,1,,,,,
126,,32.1,4.2,,,1,,,,,
127,10월03일,35.2,5.1,,,1,,,,E,
128,,32.4,3.6,,,1,,,,,
129,,38.8,7,1,,,,,,,
130,,34.4,3.9,,,1,,,,,
131,,32.5,3.2,,,1,,,,,
132,,32.4,3.2,,,1,,,,,
133,,42.1,7.4,,1,,,,,,
134,,40,9.4,,1,,,,,,
135,,35.2,4.4,,,1,,,,,
136,10월06일,34.1,6.8,,,1,,,,C,
137,,30,3.2,,,1,,,,,
138,,35.3,7,,,1,,,,,
139,,38.8,8.7,,,1,,,,E,
140,,36.4,3.8,,,1,,,,,
141,,34.6,3.9,,,1,,,,,
142,10월10일,30.4,4.2,,,1,,,,E,
,SUM1,,,40,22,35,40,0,0,,
,SUM2,,,137,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
  아성체(sub-adult) : 만 1년 이상의 미성숙(immature)한 개구리 / svl 30mm 내외,,,,,,,,,,,
  당년생(froglet) : 올해 변태를 마친 개구리 / svl 20mm 내외,,,,,,,,,,,
,,,,,,,,,,,
측    정    표,,,,,,,,,,,
,,,,,,,,,,,
