"[참조] 환경영향평가 스코핑 가이드라인(안), 환경부, 2011.12",,,,,
【붙임 2】대상사업별 평가항목선정 참고자료,,,,,
하.체육시설의 설치,1)체육시설,,,"지형․지질, 동․식물상, 자연환경자산, 토지이용, 수질, *토양, 소음․진동, 위락․경관","1)란 가) 및 2)란에서 *는 제외, 2)경정시설에서 위락․경관은 제외"
, 가)도시계획구역내인 경우,,,,
, 나)도시계획구역외인 경우,,,,
,2)경륜 또는 경정시설,,,,
,3)청소년수련시설의 설치사업,,,카목에 준함,
,4)청소년수련지구의 조성사업,,,,
,5)경마장,,,위 2)란에 준함,
거.폐기물처리시설 및 분뇨처리시설의 설치,1)폐기물처리시설,,가)최종처리시설중매립시설,"지형․지질, 동․식물상, 자연환경자산, 대기질, 수질, 토양, 악취, 위락․경관, 위생․보건",
,,,나)중간처리시설중 소각시설,"대기질, 친환경적 자원순환, 소음․진동, 악취, 위생․보건, 위락․경관",
,2)분뇨처리시설 또는 축산폐수공공처리시설,,,"수리․수문, 수질, 친환경적 자원순환, 소음․진동, 악취, 위생․보건,",
너.국방․군사시설의 설치,1)국방․군사 시설,,가)도시계획구역내,"지형․지질, 대기질, 수질, 친환경적자원순환, 소음․진동, 토양",
,,,나)도시계획구역외,"지형․지질, 동․식물상, 자연환경자산, 수질, 토양, 소음․진동, 위락․경관",
,2)군용항공기지안에서 시행되는 사업,,,아목에 준함,
, 가)비행장의 신설,,,,
, 나)활주로,,,,
,다)그 밖의 사업,,,,
,3)해군기지안에서 시행되는 사업,,,라목에 준함,
"더.토석,모래,  자갈, 광물 등의 채취",1)하천 및 연안구역 내에서의 채취사업,,,자목에 준함,
,2)산지안에서의 채취사업,,,"지형․지질, 동․식물상, 자연환경자산, 수질, 소음․진동, 위락․경관",
,3)해안에서의 광업,,,"지형․지질, 동․식물상, 자연환경자산, 수질, *소음․진동, 위락․경관",4)란은 *  를 제외
,4)해안에서의 골재채취업(모래),,,,
(주) 1. 대상사업의 시행지역이 해양이나 해안선에 위치하고 있는 때에는 주요  평가항목에 해양환경을 추가한다.,,,,,
    2. 다목 3)란 가)발전소 및 동목 5)란 가)발전소중 댐 및 저수지건설을  수반하는 경우에는 바목의 주요평가항목을 포함한다.,,,,,
    3. 위 대상사업별 주요평가항목은 평가항목․범위 획정이 이루어지는 경우 평가항목 선정에 참고할 수 있다.,,,,,
